SystemTime, ADC, Temp, Hum, Pres, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MS5803Pressure, TempC, RTC, 
1654877315.9333181, 1, 23.9015625, 34.4790203342802, 860.0391865928025, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.01, 0.01, 0.01, 860.7220998619614, 860.4557120488188, 25.346115379333497, 16:8:32, 
1654877316.0065615, 0, 23.9220703125, 34.48443119319518, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.02, 0.02, 0.00, 860.8938039130549, 860.4281949637062, 25.328697776794435, 16:8:32, 
1654877316.0801547, 1, 23.9373046875, 34.37858726923657, 860.0084541663363, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.02, 0.01, 0.00, 860.7795057788192, 860.3308825859776, 25.328697776794435, 16:8:32, 
1654877316.1569245, 0, 23.9423828125, 34.30602405911499, 859.9609508309125, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.01, 0.02, 0.00, 860.7159354682049, 860.3583962384588, 25.346115379333497, 16:8:32, 
1654877316.2361255, 0, 23.9578125, 34.29489234533728, 860.0157699392834, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.01, 0.01, 0.01, 860.8227849599848, 860.4557120488188, 25.346115379333497, 16:8:32, 
1654877316.3101819, 0, 23.962890625, 34.64547310785329, 859.9758629314839, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.01, 0.01, 0.01, 860.6816460279342, 860.4281949637062, 25.328697776794435, 16:8:32, 
1654877316.3840268, 0, 23.962890625, 34.400484866517616, 859.9904937800897, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.01, 0.01, 0.00, 860.6928189916179, 860.4281949637062, 25.328697776794435, 16:8:33, 
1654877316.4618661, 0, 23.96796875, 34.650891694790126, 860.0105885612221, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.02, 0.02, 0.00, 860.6655929191932, 860.4281949637062, 25.328697776794435, 16:8:33, 
1654877316.5410314, 0, 23.973046875, 34.394815258316044, 860.0252199071681, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.01, 0.01, 0.00, 860.6711151886002, 860.4557120488188, 25.346115379333497, 16:8:33, 
1654877316.6154652, 0, 23.96796875, 34.41151328667645, 859.9356729547208, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.01, 0.00, 0.01, 860.6816460279342, 860.3308825859776, 25.328697776794435, 16:8:33, 
1654877316.703471, 0, 23.973046875, 34.43377719790835, 860.0325356204053, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.02, 0.02, 0.00, 860.7624252711188, 860.4557120488188, 25.346115379333497, 16:8:33, 
1654877316.7773528, 0, 23.973046875, 34.44496039136676, 859.9777138704013, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.01, 0.01, 0.00, 860.6598138000465, 860.5530278591789, 25.346115379333497, 16:8:33, 
1654877316.85125, 0, 23.978125, 34.53396300822097, 860.0325356204053, -, -, -, -, -, -, -, -, -, -, 0.40, -0.25, 10.08, 0.02, 0.01, 0.01, 860.6903789190893, 860.4557120488188, 25.346115379333497, 16:8:33, 
1654877316.9296968, 0, 23.983203125, 34.39465761177278, 860.0398513604828, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.01, 0.00, 0.00, 860.7232556857908, 860.4557120488188, 25.346115379333497, 16:8:33, 
1654877317.0091746, 0, 23.983203125, 34.539528800676756, 860.0398513604828, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.02, 0.02, 0.01, 860.6173051681004, 860.4557120488188, 25.346115379333497, 16:8:33, 
