SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1657851726.5701234, 24.0853515625, 42.779059579950406, 862.7440823996398, 0.66, -0.20, 10.06, 0.04, 0.02, 0.00, 863.172574805053, 863.0868961897097, 24.980345726013184, 20:22:5, 
1657851726.64737, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.02, 0.01, -, -, -, -, 
1657851726.6715822, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.02, -, -, -, -, 
1657851726.6956656, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, -, -, -, -, 
1657851726.7198713, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.01, 0.02, -, -, -, -, 
1657851726.7439678, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.01, 0.01, 863.3535254467813, 863.0868961897097, 24.980345726013184, -, 
1657851726.7806764, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.02, 0.01, -, -, -, -, 
1657851726.804727, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.01, 0.01, -, -, -, -, 
1657851726.8285995, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, -, -, -, -, 
1657851726.8523657, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.02, 0.01, -, -, -, -, 
1657851726.8845088, 24.0955078125, 42.912437623625685, 862.8410103805701, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, 863.2896982864271, 863.1841399148084, 24.980345726013184, 20:22:5, 
1657851726.9562004, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, -, -, -, -, 
1657851726.9801073, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.02, 0.02, -, -, -, -, 
1657851727.003922, -, -, -, 0.66, -0.20, 10.06, 0.02, 0.02, 0.01, -, -, -, -, 
1657851727.0277026, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.00, -, -, -, -, 
1657851727.0515873, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.02, 863.442909156251, 863.1841399148084, 24.980345726013184, -, 
1657851727.08838, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.02, 0.01, -, -, -, -, 
1657851727.112398, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, -, -, -, -, 
1657851727.1361835, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.01, 0.02, -, -, -, -, 
1657851727.1604555, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.01, 0.01, -, -, -, -, 
1657851727.1904147, 24.1005859375, 42.69036894708085, 862.773712616098, 0.66, -0.20, 10.06, 0.03, 0.00, 0.01, 863.2983027527123, 863.1841399148084, 24.980345726013184, 20:22:6, 
1657851727.2631774, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.02, 0.02, -, -, -, -, 
1657851727.2868624, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, -, -, -, -, 
1657851727.3106818, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, -, -, -, -, 
1657851727.3343966, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, -, -, -, -, 
1657851727.3580537, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, 863.2640133124415, 863.0868961897097, 24.980345726013184, -, 
1657851727.3945193, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.02, 0.01, -, -, -, -, 
1657851727.418487, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.02, -, -, -, -, 
1657851727.4423313, -, -, -, 0.66, -0.20, 10.06, 0.03, 0.01, 0.01, -, -, -, -, 
1657851727.4661672, -, -, -, 0.66, -0.20, 10.06, 0.04, 0.01, 0.01, -, -, -, -, 
1657851727.5531461, 24.1005859375, 42.93460717979355, 862.8410103805701, 0.64, -0.19, 10.10, 0.03, 0.02, 0.01, 863.3798525451164, 863.1841399148084, 24.980345726013184, 20:22:6, 
1657851727.6297638, -, -, -, 0.64, -0.19, 10.10, 0.04, 0.01, 0.02, -, -, -, -, 
1657851727.6541004, -, -, -, 0.64, -0.19, 10.10, 0.04, 0.02, 0.01, -, -, -, -, 
1657851727.6781318, -, -, -, 0.64, -0.19, 10.10, 0.04, 0.01, 0.01, -, -, -, -, 
1657851727.702611, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.02, 0.01, -, -, -, -, 
1657851727.7268455, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.02, 0.01, 863.2859739651992, 863.0868961897097, 24.980345726013184, -, 
1657851727.7638657, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.01, 0.00, -, -, -, -, 
1657851727.7879884, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.02, 0.01, -, -, -, -, 
1657851727.811973, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.02, 0.00, -, -, -, -, 
1657851727.836078, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.01, 0.01, -, -, -, -, 
1657851727.8640482, 24.1005859375, 42.79025415647563, 862.8486302842161, 0.64, -0.19, 10.10, 0.03, 0.00, 0.01, 863.261444815043, 863.0868961897097, 24.980345726013184, 20:22:6, 
1657851727.937679, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.02, 0.01, -, -, -, -, 
1657851727.9615445, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.01, 0.02, -, -, -, -, 
1657851727.9855442, -, -, -, 0.64, -0.19, 10.10, 0.04, 0.01, 0.01, -, -, -, -, 
1657851728.0094676, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.01, 0.02, -, -, -, -, 
1657851728.033858, -, -, -, 0.64, -0.19, 10.10, 0.04, 0.01, 0.02, 863.3280973225355, 863.0868961897097, 24.980345726013184, -, 
1657851728.0707035, -, -, -, 0.64, -0.19, 10.10, 0.03, 0.00, 0.01, -, -, -, -, 
1657851728.0948427, -, -, -, 0.64, -0.19, 10.10, 0.04, 0.01, 0.00, -, -, -, -, 
