SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1655253664.0567343, 24.534375, 22.000517987806347, 857.2530527955814, 0.40, -0.25, 10.00, 0.01, 0.01, -0.00, 858.1545014374958, 858.0664045551396, 25.86864345550537, 0:41:0, 
1655253664.200924, -, -, -, 0.40, -0.25, 10.00, 0.02, 0.02, 0.00, 858.1352377070067, 858.0390007468662, 25.85122585296631, 0:41:0, 
1655253664.3043692, -, -, -, 0.40, -0.25, 10.00, 0.02, 0.01, 0.00, 858.0602375829689, 858.0664045551396, 25.86864345550537, 0:41:0, 
1655253664.384729, -, -, -, 0.40, -0.25, 10.00, 0.02, 0.01, 0.00, 857.9966672723546, 858.1364161035395, 25.85122585296631, 0:41:0, 
1655253664.4945552, -, -, -, 0.40, -0.25, 10.00, 0.02, 0.02, 0.01, 858.1618216550817, 858.0390007468662, 25.85122585296631, 0:41:0, 
1655253664.6029541, 24.52421875, 22.051048592933682, 857.2127668813005, 0.40, -0.25, 10.00, 0.03, 0.01, 0.01, 858.1127633547693, 858.0664045551396, 25.86864345550537, 0:41:0, 
1655253664.7667427, -, -, -, 0.40, -0.25, 10.00, 0.01, 0.02, -0.00, 858.0336536348938, 858.0390007468662, 25.85122585296631, 0:41:0, 
1655253664.8939571, -, -, -, 0.40, -0.25, 10.00, 0.02, 0.01, -0.00, 858.0400748783902, 858.1364161035395, 25.85122585296631, 0:41:1, 
1655253665.0340438, -, -, -, 0.44, -0.28, 10.02, 0.02, 0.01, 0.00, 858.0187563499821, 858.0390007468662, 25.85122585296631, 0:41:1, 
1655253665.177883, -, -, -, 0.44, -0.28, 10.02, 0.01, 0.01, 0.01, 858.088362629483, 858.0390007468662, 25.85122585296631, 0:41:1, 
1655253665.3229454, 24.52421875, 21.91642629848429, 857.2127668813005, 0.44, -0.28, 10.02, 0.02, 0.02, 0.00, 858.0631913549772, 858.0390007468662, 25.85122585296631, 0:41:1, 
1655253665.456598, -, -, -, 0.44, -0.28, 10.02, 0.02, 0.01, -0.00, 858.1157171267777, 858.1638233444444, 25.86864345550537, 0:41:1, 
1655253665.6037884, -, -, -, 0.44, -0.28, 10.02, 0.03, 0.01, 0.00, 858.1265048158516, 858.0390007468662, 25.85122585296631, 0:41:1, 
1655253665.7005656, -, -, -, 0.44, -0.28, 10.02, 0.03, 0.01, 0.00, 858.1605374063824, 858.0390007468662, 25.85122585296631, 0:41:1, 
1655253665.8191679, -, -, -, 0.44, -0.28, 10.02, 0.02, 0.00, 0.01, 858.1479517691295, 858.0390007468662, 25.85122585296631, 0:41:2, 
1655253665.9201946, 24.52421875, 21.983544350350087, 857.240199617101, 0.44, -0.28, 10.02, 0.02, 0.01, 0.00, 858.0701262979533, 858.0390007468662, 25.85122585296631, 0:41:2, 
1655253666.1032863, -, -, -, 0.41, -0.22, 10.03, 0.02, 0.01, 0.00, 858.1601521317726, 858.0390007468662, 25.85122585296631, 0:41:2, 
1655253666.2046041, -, -, -, 0.41, -0.22, 10.03, 0.01, 0.01, 0.00, 858.2455546702746, 858.0390007468662, 25.85122585296631, 0:41:2, 
1655253666.3400714, -, -, -, 0.41, -0.22, 10.03, 0.02, 0.01, -0.00, 858.0769328160595, 858.0390007468662, 25.85122585296631, 0:41:2, 
1655253666.461145, -, -, -, 0.41, -0.22, 10.03, 0.01, 0.02, 0.00, 858.0200405986815, 858.0390007468662, 25.85122585296631, 0:41:2, 
1655253666.6232624, 24.529296875, 21.91642629848429, 857.2329100376332, 0.41, -0.22, 10.03, 0.01, 0.01, 0.00, 858.2117789294837, 857.9415853901929, 25.85122585296631, 0:41:2, 
1655253666.7632647, -, -, -, 0.41, -0.22, 10.03, 0.02, 0.01, 0.01, 858.0983797693374, 858.0390007468662, 25.85122585296631, 0:41:2, 
1655253666.8569643, -, -, -, 0.41, -0.22, 10.03, 0.02, 0.01, -0.00, 858.2137053025325, 858.0390007468662, 25.85122585296631, 0:41:3, 
1655253666.9481356, -, -, -, 0.41, -0.22, 10.03, 0.01, 0.01, 0.00, 858.1530887639266, 858.0390007468662, 25.85122585296631, 0:41:3, 
1655253667.047136, -, -, -, 0.37, -0.18, 10.04, 0.02, 0.01, 0.00, 858.1885340280267, 858.0390007468662, 25.85122585296631, 0:41:3, 
