SystemTime, ADC, 
1655253664.0692222, 709, 
1655253664.1080003, 623, 
1655253664.143347, 571, 
1655253664.2046845, 505, 
1655253664.2517903, 548, 
1655253664.3011682, 515, 
1655253664.3403034, 447, 
1655253664.381484, 446, 
1655253664.420785, 414, 
1655253664.451698, 375, 
1655253664.5042179, 353, 
1655253664.541522, 331, 
1655253664.5984092, 314, 
1655253664.6459408, 291, 
1655253664.6879215, 267, 
1655253664.7457016, 260, 
1655253664.810966, 242, 
1655253664.8697278, 218, 
1655253664.9332583, 207, 
1655253664.987455, 189, 
1655253665.0551708, 178, 
1655253665.0946343, 175, 
1655253665.152793, 155, 
1655253665.2028553, 145, 
1655253665.2405303, 137, 
1655253665.3021758, 135, 
1655253665.3584278, 116, 
1655253665.392978, 110, 
1655253665.452479, 103, 
1655253665.504367, 95, 
1655253665.5597985, 95, 
1655253665.6170464, 91, 
1655253665.6509647, 86, 
1655253665.7037883, 70, 
1655253665.7428927, 68, 
1655253665.7792523, 70, 
1655253665.8224444, 56, 
1655253665.8593345, 54, 
1655253665.9002802, 57, 
1655253665.9446912, 47, 
1655253665.9795556, 53, 
1655253666.016526, 48, 
1655253666.099937, 44, 
1655253666.1435673, 36, 
1655253666.1807694, 44, 
1655253666.2228134, 30, 
1655253666.2643452, 35, 
1655253666.3168406, 23, 
1655253666.3844755, 31, 
1655253666.435083, 23, 
1655253666.4946842, 31, 
1655253666.544213, 27, 
1655253666.590209, 17, 
1655253666.640334, 17, 
1655253666.6789794, 17, 
1655253666.7119389, 28, 
1655253666.7665882, 18, 
1655253666.8131697, 24, 
1655253666.860217, 11, 
1655253666.896832, 21, 
1655253666.9547586, 8, 
1655253666.9885662, 7, 
1655253667.0504677, 21, 
1655253667.0912318, 5, 
1655253667.1528234, 16, 
1655253667.187185, 9, 
1655253667.2292304, 12, 
1655253667.2698293, 13, 
1655253667.3171647, 16, 
1655253667.3512619, 13, 
1655253667.4098408, 5, 
1655253667.4527903, 1, 
1655253667.5078185, 2, 
1655253667.5554993, 12, 
1655253667.6012545, 11, 
1655253667.6731737, 0, 
1655253667.7188108, 8, 
1655253667.7652786, 13, 
1655253667.82874, 13, 
1655253667.8733375, 0, 
1655253667.9232838, 0, 
1655253667.9808025, 16, 
1655253668.025525, 0, 
1655253668.0746002, 0, 
1655253668.1192644, 7, 
1655253668.1636488, 19, 
1655253668.2219446, 0, 
1655253668.2640362, 12, 
1655253668.339106, 1, 
1655253668.3857427, 8, 
1655253668.4457242, 4, 
1655253668.4836686, 16, 
1655253668.5286925, 14, 
1655253668.578417, 11, 
1655253668.6232193, 1, 
1655253668.6677003, 16, 
1655253668.729617, 18, 
1655253668.7692466, 10, 
1655253668.8444383, 12, 
1655253668.8980339, 15, 
1655253668.9701586, 7, 
1655253669.009853, 18, 
1655253669.0606172, 5, 
1655253669.1115992, 2, 
1655253669.1503408, 16, 
1655253669.1890216, 3, 
1655253669.2653313, 17, 
1655253669.3122158, 12, 
1655253669.3697908, 6, 
