SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1655857663.615743, 23.503515625, 21.648738463436462, 862.2724312717347, 0.40, -0.25, 10.02, 0.03, 0.02, 0.00, 863.407335467281, 863.060285822188, 24.841004905700682, 0:27:39, 
1655857663.6918783, -, -, -, 0.40, -0.25, 10.02, 0.01, 0.01, 0.01, -, -, -, -, 
1655857663.722827, -, -, -, 0.40, -0.25, 10.02, 0.02, 0.02, -0.00, -, -, -, -, 
1655857663.7502625, -, -, -, 0.40, -0.25, 10.02, 0.02, 0.00, 0.01, -, -, -, -, 
1655857663.7798886, -, -, -, 0.40, -0.25, 10.02, 0.01, 0.01, 0.01, -, -, -, -, 
1655857663.809487, -, -, -, 0.40, -0.25, 10.02, 0.01, 0.01, 0.00, 863.3721470529207, 863.1575020862348, 24.841004905700682, -, 
1655857663.849337, -, -, -, 0.40, -0.25, 10.02, 0.02, 0.01, -0.00, -, -, -, -, 
1655857663.8772821, -, -, -, 0.40, -0.25, 10.02, 0.02, 0.02, 0.00, -, -, -, -, 
1655857663.904291, -, -, -, 0.40, -0.25, 10.02, 0.02, 0.01, -0.00, -, -, -, -, 
1655857663.930925, -, -, -, 0.40, -0.25, 10.02, 0.01, 0.02, 0.01, -, -, -, -, 
1655857663.964934, 23.50859375, 21.558843375532533, 862.2746685223101, 0.40, -0.25, 10.02, 0.02, 0.01, 0.00, 863.3009996749807, 863.0879230494029, 24.858422508239745, 0:27:39, 
1655857664.0398874, -, -, -, 0.40, -0.25, 10.02, 0.03, 0.02, 0.01, -, -, -, -, 
1655857664.0661027, -, -, -, 0.40, -0.25, 10.02, 0.02, 0.01, 0.00, -, -, -, -, 
1655857664.0924575, -, -, -, 0.40, -0.25, 10.02, 0.01, 0.01, 0.01, -, -, -, -, 
1655857664.1185255, -, -, -, 0.40, -0.25, 10.02, 0.02, 0.01, 0.00, -, -, -, -, 
1655857664.1468744, -, -, -, 0.40, -0.25, 10.02, 0.01, 0.02, 0.00, 863.2661965352304, 863.1575020862348, 24.841004905700682, -, 
1655857664.1887474, -, -, -, 0.40, -0.25, 10.02, 0.01, 0.02, 0.01, -, -, -, -, 
1655857664.216011, -, -, -, 0.40, -0.25, 10.02, 0.01, 0.01, 0.00, -, -, -, -, 
