SystemTime, ADC, 
1655857663.6163764, 917, 
1655857663.6236708, 789, 
1655857663.630065, 685, 
1655857663.636496, 605, 
1655857663.642869, 517, 
1655857663.6491673, 460, 
1655857663.6562157, 397, 
1655857663.6624777, 344, 
1655857663.6686752, 312, 
1655857663.6748018, 626, 
1655857663.6954036, 580, 
1655857663.7015514, 541, 
1655857663.707577, 494, 
1655857663.7135246, 456, 
1655857663.719867, 426, 
1655857663.727839, 389, 
1655857663.7337806, 366, 
1655857663.7396605, 333, 
1655857663.7455692, 306, 
1655857663.7550673, 288, 
1655857663.7655134, 268, 
1655857663.7713077, 247, 
1655857663.777212, 223, 
1655857663.7845688, 213, 
1655857663.7901957, 192, 
1655857663.7957118, 177, 
1655857663.8012567, 169, 
1655857663.8069582, 151, 
1655857663.8140166, 142, 
1655857663.8195987, 134, 
1655857663.829784, 120, 
1655857663.83533, 116, 
1655857663.8445895, 103, 
1655857663.8537238, 101, 
1655857663.859084, 87, 
1655857663.8643646, 84, 
1655857663.869668, 80, 
1655857663.874981, 68, 
1655857663.8815463, 68, 
1655857663.8868349, 64, 
1655857663.896906, 56, 
1655857663.902161, 57, 
1655857663.9084198, 46, 
1655857663.9134436, 43, 
1655857663.9184258, 43, 
1655857663.9233465, 35, 
1655857663.928254, 32, 
1655857663.9348435, 38, 
1655857663.9398072, 28, 
1655857663.9446247, 26, 
1655857663.9539473, 28, 
1655857663.9613295, 21, 
1655857663.9662807, 28, 
1655857663.9709034, 23, 
1655857663.9756403, 11, 
1655857663.9803133, 13, 
1655857663.9847717, 19, 
1655857663.9894419, 11, 
1655857663.9940276, 5, 
1655857663.998595, 12, 
1655857664.0077903, 4, 
1655857664.012401, 4, 
1655857664.0169165, 13, 
1655857664.0213532, 10, 
1655857664.026186, 0, 
1655857664.0329618, 10, 
1655857664.0383763, 7, 
1655857664.0434217, 0, 
1655857664.0479286, 3, 
1655857664.0524356, 7, 
1655857664.0665846, 7, 
1655857664.0714493, 5, 
1655857664.0759292, 0, 
1655857664.0803742, 0, 
1655857664.084801, 6, 
1655857664.0892403, 0, 
1655857664.095957, 0, 
1655857664.1004803, 6, 
1655857664.1049254, 3, 
1655857664.1093583, 0, 
1655857664.1193094, 4, 
1655857664.1239638, 0, 
1655857664.12902, 0, 
1655857664.1342368, 6, 
1655857664.1394746, 0, 
1655857664.144677, 0, 
1655857664.1509967, 5, 
1655857664.156252, 0, 
1655857664.1614676, 0, 
1655857664.1667151, 5, 
1655857664.176763, 0, 
1655857664.1866193, 4, 
1655857664.1928816, 0, 
1655857664.198173, 0, 
1655857664.2033825, 4, 
1655857664.20859, 0, 
1655857664.2138383, 0, 
1655857664.2201188, 5, 
1655857664.2255912, 0, 
1655857664.2302804, 0, 
1655857664.2393904, 0, 
1655857664.2460608, 0, 
1655857664.2505376, 6, 
1655857664.254986, 3, 
1655857664.2594597, 0, 
1655857664.2638996, 0, 
1655857664.2685018, 5, 
1655857664.27349, 0, 
1655857664.277991, 0, 
1655857664.28242, 4, 
1655857664.294151, 0, 
1655857664.2999244, 5, 
1655857664.3048375, 3, 
1655857664.309329, 0, 
1655857664.3140306, 0, 
1655857664.3187814, 4, 
1655857664.3233285, 0, 
1655857664.3278453, 0, 
1655857664.3324957, 3, 
1655857664.3372726, 3, 
1655857664.3465075, 0, 
1655857664.3511128, 4, 
1655857664.3556027, 0, 
1655857664.3603194, 0, 
1655857664.3685062, 4, 
1655857664.373916, 0, 
1655857664.3789608, 0, 
1655857664.3834412, 4, 
1655857664.3878925, 2, 
1655857664.3923333, 0, 
1655857664.4014118, 4, 
1655857664.4064548, 0, 
1655857664.4109242, 0, 
1655857664.4153485, 2, 
1655857664.419773, 3, 
1655857664.424202, 0, 
1655857664.4314926, 0, 
1655857664.4359732, 3, 
1655857664.4404063, 0, 
1655857664.4448278, 0, 
1655857664.4539573, 3, 
1655857664.4589484, 0, 
1655857664.4633946, 0, 
1655857664.467831, 5, 
1655857664.472239, 0, 
1655857664.4766617, 0, 
1655857664.4814007, 0, 
1655857664.48644, 3, 
1655857664.4909248, 0, 
1655857664.495361, 0, 
1655857664.5051217, 3, 
1655857664.5100245, 0, 
1655857664.5181544, 4, 
1655857664.5254912, 0, 
1655857664.5299842, 0, 
1655857664.5344124, 5, 
1655857664.5388598, 0, 
1655857664.5432806, 0, 
1655857664.547907, 0, 
1655857664.5529275, 3, 
1655857664.5639856, 0, 
1655857664.568608, 4, 
1655857664.5732696, 0, 
1655857664.5793352, 0, 
1655857664.5838175, 4, 
1655857664.5882869, 1, 
1655857664.5927362, 0, 
1655857664.5971951, 0, 
1655857664.602126, 5, 
1655857664.607168, 0, 
1655857664.617543, 4, 
1655857664.6278625, 0, 
1655857664.6349068, 4, 
1655857664.6396267, 0, 
1655857664.644199, 0, 
1655857664.648796, 2, 
1655857664.6534004, 2, 
1655857664.6581042, 0, 
1655857664.662872, 0, 
1655857664.6674607, 5, 
1655857664.6769867, 0, 
1655857664.6816769, 1, 
1655857664.6862423, 2, 
1655857664.69077, 0, 
1655857664.6953104, 0, 
1655857664.699946, 4, 
1655857664.7088244, 0, 
1655857664.7142453, 0, 
1655857664.718856, 4, 
1655857664.7233984, 0, 
1655857664.7367089, 3, 
1655857664.7419, 0, 
1655857664.7478533, 0, 
1655857664.75251, 4, 
1655857664.7571685, 0, 
1655857664.7618048, 0, 
1655857664.7675934, 5, 
1655857664.7722833, 0, 
1655857664.7769306, 0, 
1655857664.7816064, 0, 
1655857664.7910922, 0, 
1655857664.7959685, 0, 
1655857664.8006215, 4, 
1655857664.805266, 1, 
1655857664.8099005, 0, 
1655857664.8145463, 0, 
1655857664.8204815, 3, 
1655857664.8251636, 0, 
1655857664.8298328, 0, 
1655857664.834449, 5, 
1655857664.8439467, 0, 
1655857664.8543963, 3, 
1655857664.8601158, 0, 
1655857664.8657322, 3, 
1655857664.8704941, 2, 
1655857664.8752522, 0, 
1655857664.8802032, 0, 
1655857664.8869286, 3, 
1655857664.8918114, 0, 
1655857664.8966432, 0, 
1655857664.9062116, 0, 
1655857664.913557, 0, 
1655857664.9183195, 4, 
1655857664.9229975, 0, 
1655857664.9276857, 0, 
1655857664.932451, 3, 
1655857664.9398882, 0, 
1655857664.944609, 0, 
1655857664.949287, 3, 
1655857664.9539528, 2, 
1655857664.9658816, 1, 
1655857664.9709625, 1, 
1655857664.9761865, 0, 
1655857664.9816175, 0, 
