SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1655934681.9496682, 23.9423828125, 29.34905777195249, 861.2546521869111, 0.37, -0.19, 10.05, 0.02, 0.01, 0.00, 862.3718457410534, 862.0013070894382, 25.15452175140381, 21:51:17, 
1655934682.023122, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.00, 0.01, -, -, -, -, 
1655934682.0471892, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, 0.00, -, -, -, -, 
1655934682.0713465, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.02, -0.00, -, -, -, -, 
1655934682.0955207, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, 0.00, -, -, -, -, 
1655934682.119575, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, 0.01, 862.3724878654031, 862.0985851408518, 25.15452175140381, -, 
1655934682.1564593, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, 0.01, -, -, -, -, 
1655934682.1806293, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, 0.01, -, -, -, -, 
1655934682.2045307, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, -0.01, -, -, -, -, 
1655934682.2288585, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, -0.00, -, -, -, -, 
1655934682.2588263, 23.9423828125, 29.54970751153442, 861.249219615685, 0.37, -0.19, 10.05, 0.01, 0.00, -0.00, 862.30711960661, 862.0013070894382, 25.15452175140381, 21:51:17, 
1655934682.332171, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, 0.00, -, -, -, -, 
1655934682.356315, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.02, 0.00, -, -, -, -, 
1655934682.3805215, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.00, 0.00, -, -, -, -, 
1655934682.4048486, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.02, 0.01, -, -, -, -, 
1655934682.4289362, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.00, 0.00, 862.2551075342891, 862.0288893945492, 25.17193935394287, -, 
1655934682.4661443, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.02, 0.00, -, -, -, -, 
1655934682.4902544, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, 0.02, -, -, -, -, 
1655934682.5146246, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.02, 0.01, -, -, -, -, 
1655934682.5386384, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, -0.01, -, -, -, -, 
1655934682.566623, 23.9423828125, 29.44916759720495, 861.3040404785498, 0.37, -0.19, 10.05, 0.01, 0.01, 0.00, 862.2475304669634, 862.0013070894382, 25.15452175140381, 21:51:18, 
1655934682.6404455, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, 0.01, -, -, -, -, 
1655934682.6644773, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, 0.01, -, -, -, -, 
1655934682.688437, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, 0.00, -, -, -, -, 
1655934682.712627, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, 0.00, -, -, -, -, 
1655934682.7369022, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, -0.00, 862.299799389024, 862.0013070894382, 25.15452175140381, -, 
1655934682.774096, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, 0.00, -, -, -, -, 
1655934682.7983649, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, 0.01, -, -, -, -, 
1655934682.822367, -, -, -, 0.37, -0.19, 10.05, 0.02, 0.01, 0.00, -, -, -, -, 
1655934682.8463411, -, -, -, 0.37, -0.19, 10.05, 0.01, 0.01, -0.00, -, -, -, -, 
1655934682.8764482, 23.9474609375, 29.382282171973536, 861.3040404785498, 0.37, -0.19, 10.05, 0.01, 0.01, -0.00, 862.2416229229467, 862.0013070894382, 25.15452175140381, 21:51:18, 
