SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1657761475.3469253, 24.4578125, 36.86295413282532, 859.1528192477231, 0.46, -0.08, 10.10, 0.03, 0.01, 0.01, 859.7198721770452, 859.5276863947115, 25.86864345550537, 6:35:47, 
1657761475.468932, -, -, -, 0.46, -0.08, 10.10, 0.03, 0.02, 0.02, -, -, -, -, 
1657761475.532852, -, -, -, 0.46, -0.08, 10.10, 0.03, 0.01, 0.02, -, -, -, -, 
1657761475.5984783, -, -, -, 0.46, -0.08, 10.10, 0.03, 0.01, 0.02, -, -, -, -, 
1657761475.660412, -, -, -, 0.46, -0.08, 10.10, 0.03, 0.01, 0.02, -, -, -, -, 
1657761475.7218115, 24.452734375, 36.97985582282229, 859.0579875412432, 0.46, -0.08, 10.10, 0.04, 0.01, 0.01, 859.6534765192927, 859.5276863947115, 25.86864345550537, -, 
1657761475.8237245, -, -, -, 0.46, -0.08, 10.10, 0.04, 0.01, 0.00, -, -, -, -, 
1657761475.886288, -, -, -, 0.46, -0.08, 10.10, 0.03, 0.01, 0.02, -, -, -, -, 
1657761475.9496694, -, -, -, 0.46, -0.08, 10.10, 0.03, 0.01, 0.01, -, -, -, -, 
1657761476.0158544, -, -, -, 0.46, -0.08, 10.10, 0.03, 0.01, 0.01, -, -, -, -, 
1657761476.0835826, 24.4630859375, 37.13018504993712, 859.1402804442514, 0.46, -0.08, 10.10, 0.03, 0.01, 0.01, 859.7738106224149, 859.5002310969658, 25.85122585296631, 6:35:48, 
1657761476.1921353, -, -, -, 0.46, -0.08, 10.10, 0.04, 0.02, 0.01, -, -, -, -, 
1657761476.2545052, -, -, -, 0.46, -0.08, 10.10, 0.04, 0.02, 0.00, -, -, -, -, 
1657761476.3204546, -, -, -, 0.51, -0.12, 10.12, 0.03, 0.01, 0.01, -, -, -, -, 
1657761476.379596, -, -, -, 0.51, -0.12, 10.12, 0.03, 0.00, 0.01, -, -, -, -, 
1657761476.4421508, 24.4578125, 36.951992695462664, 859.1475858711979, 0.51, -0.12, 10.12, 0.03, 0.02, 0.01, 859.6798036176277, 859.6251051840163, 25.86864345550537, -, 
1657761476.554651, -, -, -, 0.51, -0.12, 10.12, 0.03, 0.01, 0.01, -, -, -, -, 
1657761476.6198847, -, -, -, 0.51, -0.12, 10.12, 0.04, 0.02, 0.01, -, -, -, -, 
1657761476.6838243, -, -, -, 0.51, -0.12, 10.12, 0.04, 0.01, 0.01, -, -, -, -, 
1657761476.7460926, -, -, -, 0.51, -0.12, 10.12, 0.02, 0.01, 0.02, -, -, -, -, 
1657761476.82551, 24.4630859375, 36.963105097688036, 859.0652923026424, 0.51, -0.12, 10.12, 0.03, 0.00, 0.01, 859.67595087153, 859.5276863947115, 25.86864345550537, 6:35:48, 
1657761476.969905, -, -, -, 0.51, -0.12, 10.12, 0.03, 0.01, 0.01, -, -, -, -, 
1657761477.0390863, -, -, -, 0.51, -0.12, 10.12, 0.03, 0.01, 0.01, -, -, -, -, 
1657761477.1083028, -, -, -, 0.51, -0.12, 10.12, 0.03, 0.01, 0.01, -, -, -, -, 
1657761477.1734061, -, -, -, 0.51, -0.12, 10.12, 0.04, 0.01, 0.01, -, -, -, -, 
1657761477.2310367, 24.4630859375, 37.007672044063945, 859.1621968049964, 0.51, -0.12, 10.12, 0.03, 0.01, 0.02, 858.3846388044064, 859.5276863947115, 25.86864345550537, -, 
1657761477.3499286, -, -, -, 0.41, -0.08, 9.96, 0.03, 0.02, 0.01, -, -, -, -, 
1657761477.4164636, -, -, -, 0.41, -0.08, 9.96, 0.03, 0.01, 0.01, -, -, -, -, 
1657761477.5054338, -, -, -, 0.41, -0.08, 9.96, 0.04, 0.01, 0.01, -, -, -, -, 
1657761477.5676062, -, -, -, 0.41, -0.08, 9.96, 0.02, 0.01, 0.02, -, -, -, -, 
1657761477.6453247, 24.4681640625, 37.169115835742836, 859.1475858711979, 0.41, -0.08, 9.96, 0.06, -0.02, 0.02, 859.7284766433304, 859.7225239733211, 25.86864345550537, 6:35:49, 
1657761477.7552137, -, -, -, 0.41, -0.08, 9.96, 0.03, 0.03, 0.00, -, -, -, -, 
1657761477.8178148, -, -, -, 0.41, -0.08, 9.96, 0.06, -0.00, 0.10, -, -, -, -, 
1657761477.8801181, -, -, -, 0.41, -0.08, 9.96, -0.01, 0.06, 0.01, -, -, -, -, 
1657761477.948048, -, -, -, 0.41, -0.08, 9.96, 0.03, -0.01, 0.02, -, -, -, -, 
1657761478.0193405, 24.4732421875, 37.152412724531764, 859.2097542409933, 0.41, -0.08, 9.96, 0.06, 0.05, 0.02, 859.6541186436422, 859.6251051840163, 25.86864345550537, -, 
1657761478.119964, -, -, -, 0.41, -0.08, 9.96, -0.15, 0.34, -0.03, -, -, -, -, 
1657761478.192962, -, -, -, 0.41, -0.08, 9.96, -0.07, 1.88, -0.47, -, -, -, -, 
1657761478.2601511, -, -, -, 0.41, -0.08, 9.96, 0.04, 2.88, -0.34, -, -, -, -, 
1657761478.326058, -, -, -, -1.96, -0.15, 11.13, -0.58, 3.48, -0.38, -, -, -, -, 
1657761478.4016, 24.4681640625, 37.152412724531764, 859.1750170981067, -1.96, -0.15, 11.13, -1.42, 2.52, 0.42, 860.2405065997324, 859.6251051840163, 25.86864345550537, 6:35:50, 
1657761478.5153382, -, -, -, -1.96, -0.15, 11.13, -1.46, 2.49, 0.15, -, -, -, -, 
1657761478.5789807, -, -, -, -1.96, -0.15, 11.13, -0.56, 2.09, 0.64, -, -, -, -, 
1657761478.6436987, -, -, -, -1.96, -0.15, 11.13, -0.90, 1.64, 0.63, -, -, -, -, 
1657761478.706734, -, -, -, -1.96, -0.15, 11.13, -0.40, 1.29, 0.22, -, -, -, -, 
1657761478.7707508, 24.452734375, 37.19701757950766, 859.0781135336067, -1.96, -0.15, 11.13, -0.95, 1.66, -0.05, 859.9139221555062, 859.5276863947115, 25.86864345550537, -, 
1657761478.886365, -, -, -, -1.96, -0.15, 11.13, -1.19, 1.36, -0.23, -, -, -, -, 
1657761478.9492953, -, -, -, -1.96, -0.15, 11.13, -1.33, 1.13, -0.11, -, -, -, -, 
1657761479.0262635, -, -, -, -1.96, -0.15, 11.13, -0.16, 0.45, -0.24, -, -, -, -, 
1657761479.088963, -, -, -, -1.96, -0.15, 11.13, -0.29, 0.23, 0.07, -, -, -, -, 
1657761479.170003, 24.4630859375, 37.48647703634871, 859.0927234734659, -1.96, -0.15, 11.13, -0.60, 0.06, -0.04, 860.06700460046, 859.4302676054067, 25.86864345550537, 6:35:51, 
1657761479.2785447, -, -, -, -9.20, -0.27, -2.39, -0.47, 0.26, -0.18, -, -, -, -, 
1657761479.3498943, -, -, -, -9.20, -0.27, -2.39, -0.47, 0.37, 0.11, -, -, -, -, 
1657761479.4131436, -, -, -, -9.20, -0.27, -2.39, -0.49, 0.09, -0.06, -, -, -, -, 
1657761479.4759862, -, -, -, -9.20, -0.27, -2.39, 0.05, 0.05, 0.07, -, -, -, -, 
1657761479.5376647, 24.4833984375, 38.766657545967924, 859.0545374245116, -9.20, -0.27, -2.39, -0.14, -0.18, 0.17, 859.9289478652876, 859.5551416924573, 25.886061058044433, -, 
1657761479.647067, -, -, -, -9.20, -0.27, -2.39, -0.26, -0.50, 0.00, -, -, -, -, 
1657761479.7160542, -, -, -, -9.20, -0.27, -2.39, 0.34, -0.66, 0.24, -, -, -, -, 
1657761479.7754688, -, -, -, -9.20, -0.27, -2.39, -0.40, -0.13, 0.04, -, -, -, -, 
1657761479.8498344, -, -, -, -9.20, -0.27, -2.39, -1.13, 0.49, 0.08, -, -, -, -, 
1657761479.9242194, 24.52421875, 40.16335035332395, 859.091060216312, -9.20, -0.27, -2.39, -0.75, 0.14, 0.13, 859.9926466007718, 859.4577194705209, 25.886061058044433, 6:35:51, 
1657761480.0365932, -, -, -, -9.20, -0.27, -2.39, -0.13, -0.06, -0.04, -, -, -, -, 
1657761480.1063616, -, -, -, -9.20, -0.27, -2.39, -0.08, -0.08, -0.03, -, -, -, -, 
1657761480.166148, -, -, -, -9.20, -0.27, -2.39, -0.26, -0.12, -0.04, -, -, -, -, 
1657761480.2285092, -, -, -, -9.20, -0.27, -2.39, 0.06, -0.33, -0.04, -, -, -, -, 
1657761480.2902796, 24.5447265625, 42.64955454087496, 859.1150390716845, -9.13, 0.38, -2.66, -0.26, -0.12, 0.15, 860.0933316987952, 859.5551416924573, 25.886061058044433, -, 
