SystemTime, ADC 1 (Vibration), ADC 2, ADC 3, ADC 4, ADC 5, ADC 6, ADC 7, ADC 8, 
1657766773.203618, 6, 1, 0, 0, 0, 0, 0, 0, 
1657766773.206653, 7, 1, 5, 0, 0, 0, 0, 0, 
1657766773.2089882, 6, 1, 1, 0, 0, 0, 0, 0, 
1657766773.2111285, 6, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2132745, 5, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2155268, 4, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2176788, 2, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2198975, 3, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2220688, 3, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2241964, 2, 1, 0, 0, 0, 0, 0, 0, 
1657766773.238868, 2, 1, 2, 0, 0, 0, 0, 0, 
1657766773.2412672, 2, 1, 1, 0, 0, 0, 0, 0, 
1657766773.2434473, 2, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2456136, 3, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2477586, 1, 1, 0, 0, 0, 0, 0, 0, 
1657766773.249931, 1, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2520926, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2542634, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2564263, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2586036, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2660675, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2715673, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.274925, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2773163, 1, 1, 3, 0, 0, 0, 0, 0, 
1657766773.2795622, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2817075, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2838407, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2859802, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.288117, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.2902663, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.297096, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.299541, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.302066, 0, 1, 2, 0, 0, 0, 0, 0, 
1657766773.304234, 0, 1, 1, 0, 0, 0, 0, 0, 
1657766773.3063977, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3086293, 1, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3108, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3129666, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3151367, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3173037, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3240793, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3265638, 0, 1, 4, 0, 0, 0, 0, 0, 
1657766773.328769, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3309352, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3331034, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3352726, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.337445, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3395672, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3416975, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3438427, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3507195, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3529608, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3551362, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3573186, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3595102, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3616724, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3638382, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3660321, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3681889, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3703587, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3800058, 0, 1, 3, 0, 0, 0, 0, 0, 
1657766773.382289, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3844466, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.386613, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3887653, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3908987, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3930354, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.3956163, 0, 1, 1, 0, 0, 0, 0, 0, 
1657766773.398017, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.400492, 0, 1, 2, 0, 0, 0, 0, 0, 
1657766773.413072, 0, 1, 1, 0, 0, 0, 0, 0, 
1657766773.4153836, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4175239, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.419693, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4218302, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4239964, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4261386, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4283185, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4304755, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4326308, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4472435, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4498832, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4523997, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4548967, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4573889, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4598932, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4623938, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4648836, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4674125, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4699316, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4783974, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4810336, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4835615, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.486056, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4885821, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4911036, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4935994, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4960904, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4985974, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.501081, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.508487, 0, 1, 1, 0, 0, 0, 0, 0, 
1657766773.5110853, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.513603, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5161161, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.518621, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.521129, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5236042, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5260987, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5285966, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5311112, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5387545, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5412993, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5436628, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5460198, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5484068, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.550729, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5530813, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5554206, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5577588, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5601, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5695243, 0, 1, 0, 0, 0, 0, 0, 0, 
