SystemTime, ADC, 
1657761475.3540945, 8, 
1657761475.387555, 7, 
1657761475.416617, 6, 
1657761475.4500682, 5, 
1657761475.4865377, 5, 
1657761475.5219479, 4, 
1657761475.5575058, 4, 
1657761475.5883825, 3, 
1657761475.6215632, 3, 
1657761475.650958, 2, 
1657761475.6841328, 2, 
1657761475.7124915, 2, 
1657761475.7446115, 1, 
1657761475.7689424, 2, 
1657761475.7946475, 1, 
1657761475.8333392, 2, 
1657761475.860486, 1, 
1657761475.8962495, 1, 
1657761475.9232295, 0, 
1657761475.9596734, 1, 
1657761475.9863603, 0, 
1657761476.0263646, 1, 
1657761476.0620697, 1, 
1657761476.0938444, 0, 
1657761476.118764, 0, 
1657761476.1453278, 0, 
1657761476.175822, 0, 
1657761476.2088103, 0, 
1657761476.2416906, 0, 
1657761476.271211, 0, 
1657761476.3042972, 0, 
1657761476.3371994, 0, 
1657761476.3764527, 0, 
1657761476.4093723, 0, 
1657761476.4390702, 1, 
1657761476.4685414, 0, 
1657761476.5051904, 0, 
1657761476.5325902, 0, 
1657761476.564947, 0, 
1657761476.5912805, 0, 
1657761476.6408277, 0, 
1657761476.6741269, 0, 
1657761476.7070112, 0, 
1657761476.736518, 0, 
1657761476.7824962, 0, 
1657761476.8160152, 0, 
1657761476.8487163, 0, 
1657761476.8734798, 0, 
1657761476.9040236, 0, 
1657761476.9733403, 0, 
1657761477.0043862, 0, 
1657761477.0356452, 0, 
1657761477.0774314, 1, 
1657761477.118347, 0, 
1657761477.1435459, 0, 
1657761477.1831656, 0, 
1657761477.2216227, 0, 
1657761477.2538033, 0, 
1657761477.2780128, 0, 
1657761477.3040361, 0, 
1657761477.340207, 0, 
1657761477.3827891, 0, 
1657761477.413229, 0, 
1657761477.4461296, 0, 
1657761477.4762704, 0, 
1657761477.5252557, 0, 
1657761477.558146, 5, 
1657761477.5903547, 0, 
1657761477.6195786, 0, 
1657761477.655548, 11, 
1657761477.68301, 0, 
1657761477.7091117, 0, 
1657761477.7392213, 0, 
1657761477.774505, 1, 
1657761477.8081877, 0, 
1657761477.840709, 32, 
1657761477.870419, 0, 
1657761477.9056084, 10, 
1657761477.938445, 16, 
1657761477.9708662, 0, 
1657761477.997401, 3, 
1657761478.0300014, 24, 
1657761478.0633643, 6, 
1657761478.0905, 19, 
1657761478.1298914, 13, 
1657761478.157053, 0, 
1657761478.2031236, 32, 
1657761478.2309873, 46, 
1657761478.2699783, 57, 
1657761478.3002393, 83, 
1657761478.3461876, 143, 
1657761478.3791847, 127, 
1657761478.4084384, 157, 
1657761478.432908, 173, 
1657761478.461035, 94, 
1657761478.4917393, 96, 
1657761478.5254369, 150, 
1657761478.5557752, 175, 
1657761478.5923328, 179, 
1657761478.6303983, 207, 
1657761478.6618562, 162, 
1657761478.6905923, 216, 
1657761478.7243974, 221, 
1657761478.7612767, 142, 
1657761478.7937016, 234, 
