SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1657911397.6412516, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.02, 0.01, 865.6003185461673, 864.9918772448203, 24.40556484222412, 12:56:36, 
1657911397.713925, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.02, 0.01, -, -, -, -, 
1657911397.7378023, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911397.7615185, -, -, -, 0.55, -0.13, 10.07, 0.04, 0.01, 0.01, -, -, -, -, 
1657911397.7855723, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911397.8095853, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, 865.5675702043358, 864.894746796561, 24.40556484222412, -, 
1657911397.8475087, -, -, -, 0.55, -0.13, 10.07, 0.04, 0.02, 0.01, -, -, -, -, 
1657911397.8719695, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911397.8959682, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.02, 0.01, -, -, -, -, 
1657911397.9199765, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.02, 0.02, -, -, -, -, 
1657911397.9518304, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.02, 865.7193684005904, 864.9224732721946, 24.422982444763182, 12:56:37, 
1657911398.0257654, -, -, -, 0.55, -0.13, 10.07, 0.04, 0.01, 0.01, -, -, -, -, 
1657911398.049772, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.00, -, -, -, -, 
1657911398.0737662, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.0980616, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.122183, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.02, 865.5920993544919, 864.9918772448203, 24.40556484222412, -, 
1657911398.1598287, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.1841006, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.2081742, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.2322342, -, -, -, 0.55, -0.13, 10.07, 0.04, 0.02, 0.02, -, -, -, -, 
1657911398.260736, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, 865.6656868049606, 864.894746796561, 24.40556484222412, 12:56:37, 
1657911398.3336968, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.3577392, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.3817394, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.4057574, -, -, -, 0.55, -0.13, 10.07, 0.04, 0.01, 0.01, -, -, -, -, 
1657911398.429714, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, 865.5567825152618, 864.9918772448203, 24.40556484222412, -, 
1657911398.466835, -, -, -, 0.55, -0.13, 10.07, 0.04, 0.01, 0.00, -, -, -, -, 
1657911398.4908736, -, -, -, 0.55, -0.13, 10.07, 0.04, 0.01, 0.01, -, -, -, -, 
1657911398.5148308, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.539079, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.5676243, -, -, -, 0.55, -0.13, 10.07, 0.03, 0.01, 0.01, 865.7166714783218, 864.9224732721946, 24.422982444763182, 12:56:37, 
1657911398.6422138, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.02, 0.01, -, -, -, -, 
1657911398.6663747, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.02, 0.01, -, -, -, -, 
1657911398.6904578, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.02, -, -, -, -, 
1657911398.7143395, -, -, -, 0.49, -0.18, 10.02, 0.04, 0.01, 0.01, -, -, -, -, 
1657911398.7383802, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.02, 0.01, 865.5110632615675, 864.9918772448203, 24.40556484222412, -, 
1657911398.775309, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.02, 0.03, -, -, -, -, 
1657911398.7995017, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.02, -, -, -, -, 
1657911398.8235657, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.02, 0.01, -, -, -, -, 
1657911398.8476748, -, -, -, 0.49, -0.18, 10.02, 0.04, 0.01, 0.02, -, -, -, -, 
1657911398.8767207, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.01, 865.6379470330562, 864.9918772448203, 24.40556484222412, 12:56:37, 
1657911398.9506075, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.01, -, -, -, -, 
1657911398.978877, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.01, -, -, -, -, 
1657911399.0030355, -, -, -, 0.49, -0.18, 10.02, 0.04, 0.01, 0.01, -, -, -, -, 
1657911399.0270967, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.02, 0.01, -, -, -, -, 
1657911399.0515296, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.02, 865.566928079986, 864.9918772448203, 24.40556484222412, -, 
1657911399.0887635, -, -, -, 0.49, -0.18, 10.02, 0.04, 0.01, 0.01, -, -, -, -, 
1657911399.112957, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.01, -, -, -, -, 
1657911399.1369383, -, -, -, 0.49, -0.18, 10.02, 0.02, 0.01, 0.01, -, -, -, -, 
1657911399.1609023, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.02, 0.01, -, -, -, -, 
1657911399.1951308, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.01, 865.6055839658344, 865.0890076930798, 24.40556484222412, 12:56:38, 
1657911399.2678354, -, -, -, 0.49, -0.18, 10.02, 0.03, 0.01, 0.02, -, -, -, -, 
