SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1654884206.1306584, 22.8400390625, 32.329332335997265, 859.5775138500928, 0.38, -0.25, 10.03, 0.02, 0.01, 0.01, 860.3970565161743, 859.900450163295, 24.31847682952881, 18:3:22, 
1654884206.205417, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, 0.00, 860.5059608058731, 860.0251217250875, 24.33589443206787, 18:3:22, 
1654884206.2454026, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.02, 0.00, 860.4149075730942, 860.0251217250875, 24.33589443206787, 18:3:22, 
1654884206.2845216, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, 0.00, 860.4628100495773, 860.0251217250875, 24.33589443206787, 18:3:22, 
1654884206.3238173, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, -0.00, 860.4322449305346, 860.0251217250875, 24.33589443206787, 18:3:22, 
1654884206.3646882, 22.8501953125, 32.07348605235957, 859.5501516481822, 0.38, -0.25, 10.03, 0.03, 0.02, 0.00, 860.3569879567568, 859.928005007354, 24.33589443206787, 18:3:22, 
1654884206.4402666, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, -0.01, 860.4238973139892, 859.928005007354, 24.33589443206787, 18:3:23, 
1654884206.47941, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, -0.00, 860.319359469868, 859.9975634483969, 24.31847682952881, 18:3:23, 
1654884206.5189135, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, -0.00, 860.3011231383382, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884206.5581975, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, -0.00, 860.2132805273077, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884206.606398, 22.8501953125, 32.19555661539769, 859.4881087524994, 0.38, -0.25, 10.03, 0.02, 0.01, 0.00, 855.203426351426, 859.900450163295, 24.31847682952881, 18:3:23, 
1654884206.6846313, -, -, -, 0.38, -0.25, 10.03, 0.03, 0.01, 0.01, 860.3465855422927, 859.9975634483969, 24.31847682952881, 18:3:23, 
1654884206.724244, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, 0.00, 860.4105411275167, 859.928005007354, 24.33589443206787, 18:3:23, 
1654884206.7634494, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, 0.00, 860.4015513866217, 859.928005007354, 24.33589443206787, 18:3:23, 
1654884206.8023543, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.02, -0.01, 860.3668766717412, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884206.841575, 22.8451171875, 31.945621736447443, 859.5775138500928, 0.38, -0.25, 10.03, 0.02, 0.01, -0.01, 860.3899931483282, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884206.9169843, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.01, -0.00, 860.3707294178391, 859.928005007354, 24.33589443206787, 18:3:23, 
1654884206.9563165, -, -, -, 0.38, -0.25, 10.03, 0.01, 0.01, 0.00, 860.4164486715333, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884206.995964, -, -, -, 0.38, -0.25, 10.03, 0.02, 0.02, 0.00, 860.3788201846446, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884207.0354428, -, -, -, 0.38, -0.25, 10.03, 0.01, 0.01, 0.01, 855.0350613469507, 859.900450163295, 24.31847682952881, 18:3:23, 
1654884207.082199, 22.8451171875, 32.068083071383, 859.5227894648725, 0.39, -0.19, 10.04, 0.01, 0.01, 0.01, 860.3694451691398, 859.900450163295, 24.31847682952881, 18:3:23, 
1654884207.1582055, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.01, 0.00, 860.4662775210653, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884207.197951, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.01, 0.00, 860.4041198840202, 859.900450163295, 24.31847682952881, 18:3:23, 
1654884207.2375207, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.01, 0.00, 860.4350702776729, 859.928005007354, 24.33589443206787, 18:3:23, 
1654884207.2774732, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.00, -0.00, 860.3167909724694, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884207.3165777, 22.8451171875, 32.14570943077234, 859.503027359296, 0.39, -0.19, 10.04, 0.01, 0.01, 0.00, 860.4735977386513, 859.928005007354, 24.33589443206787, 18:3:23, 
1654884207.3933518, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.01, 0.00, 860.3604554282449, 860.0251217250875, 24.33589443206787, 18:3:23, 
1654884207.4320753, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.02, 0.00, 860.4073305057685, 859.9975634483969, 24.31847682952881, 18:3:24, 
1654884207.471465, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.01, 0.00, 860.4054041327196, 859.9975634483969, 24.31847682952881, 18:3:24, 
1654884207.5111792, -, -, -, 0.39, -0.19, 10.04, 0.01, 0.01, 0.00, 860.4608836765284, 859.928005007354, 24.33589443206787, 18:3:24, 
1654884207.560922, 22.8501953125, 32.27904090443873, 859.5523463110802, 0.39, -0.19, 10.04, 0.02, 0.01, -0.00, 860.3316882573811, 860.0251217250875, 24.33589443206787, 18:3:24, 
1654884207.6369395, -, -, -, 0.39, -0.19, 10.04, 0.01, 0.01, -0.00, 860.4158065471838, 859.9975634483969, 24.31847682952881, 18:3:24, 
1654884207.678898, -, -, -, 0.39, -0.19, 10.04, 0.01, 0.01, -0.00, 860.3706009929692, 859.928005007354, 24.33589443206787, 18:3:24, 
1654884207.7184968, -, -, -, 0.39, -0.19, 10.04, 0.01, 0.01, 0.01, 860.4409778216897, 859.928005007354, 24.33589443206787, 18:3:24, 
1654884207.7575536, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.01, 0.01, 860.3428612210648, 859.928005007354, 24.33589443206787, 18:3:24, 
1654884207.7977443, 22.8451171875, 32.106820108232874, 859.5797093898942, 0.39, -0.19, 10.04, 0.01, 0.01, 0.00, 860.3097276046235, 860.0251217250875, 24.33589443206787, 18:3:24, 
1654884207.8731918, -, -, -, 0.39, -0.19, 10.04, 0.01, 0.00, -0.00, 860.3572448064967, 860.0251217250875, 24.33589443206787, 18:3:24, 
1654884207.9124699, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.01, 0.00, 860.406559956549, 859.9975634483969, 24.31847682952881, 18:3:24, 
1654884207.9512637, -, -, -, 0.39, -0.19, 10.04, 0.01, 0.02, 0.00, 860.4791200080581, 860.0251217250875, 24.33589443206787, 18:3:24, 
1654884207.9908655, -, -, -, 0.39, -0.19, 10.04, 0.02, 0.02, -0.01, 860.4303185574855, 859.928005007354, 24.33589443206787, 18:3:24, 
1654884208.0449665, 22.8501953125, 32.3956262709095, 859.5870285184403, 0.39, -0.19, 10.04, 0.02, 0.02, 0.00, 860.313965625331, 860.0251217250875, 24.33589443206787, 18:3:24, 
1654884208.1218114, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, 0.00, 860.4601131273088, 859.928005007354, 24.33589443206787, 18:3:24, 
1654884208.1624033, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, 0.00, 860.3297618843322, 859.9975634483969, 24.31847682952881, 18:3:24, 
1654884208.2015262, -, -, -, 0.40, -0.25, 10.09, 0.01, 0.01, 0.01, 860.4652501221059, 859.928005007354, 24.33589443206787, 18:3:24, 
1654884208.241145, -, -, -, 0.40, -0.25, 10.09, 0.03, 0.02, -0.00, 860.429676433136, 860.0251217250875, 24.33589443206787, 18:3:24, 
1654884208.2808957, 22.8501953125, 32.15096034953226, 859.503027359296, 0.40, -0.25, 10.09, 0.01, 0.01, 0.00, 860.5082724535317, 859.928005007354, 24.33589443206787, 18:3:24, 
1654884208.35655, -, -, -, 0.40, -0.25, 10.09, 0.01, 0.01, -0.00, 860.361996526684, 859.900450163295, 24.31847682952881, 18:3:24, 
1654884208.3959146, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, -0.00, 860.33361463043, 859.900450163295, 24.31847682952881, 18:3:24, 
1654884208.4348783, -, -, -, 0.40, -0.25, 10.09, 0.01, 0.01, 0.00, 860.2749244648729, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.4743416, -, -, -, 0.40, -0.25, 10.09, 0.01, 0.01, -0.00, 860.4294195833961, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.5216458, 22.8501953125, 32.19007596687984, 859.5523463110802, 0.40, -0.25, 10.09, 0.01, 0.02, 0.00, 860.5764660594633, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.5983434, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, 0.00, 860.4018082363616, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.6376708, -, -, -, 0.40, -0.25, 10.09, 0.01, 0.01, 0.00, 860.4075873555084, 859.928005007354, 24.33589443206787, 18:3:25, 
1654884208.6770341, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, 0.01, 860.3319451071209, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.7168076, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, -0.00, 860.3831866302221, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.7559543, 22.85546875, 32.040072026446154, 859.5523463110802, 0.40, -0.25, 10.09, 0.02, 0.01, 0.00, 860.3505667132605, 859.9975634483969, 24.31847682952881, 18:3:25, 
1654884208.831698, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, 0.01, 860.3582722054562, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.870847, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, -0.00, 860.4589573034796, 859.9975634483969, 24.31847682952881, 18:3:25, 
1654884208.9108107, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, 0.00, 860.3220563921366, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.9497275, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.01, 0.00, 860.5557896554051, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884208.9957001, 22.85546875, 32.0676218321107, 859.5523463110802, 0.40, -0.25, 10.09, 0.02, 0.02, 0.00, 860.3401642987963, 859.9975634483969, 24.31847682952881, 18:3:25, 
1654884209.0718837, -, -, -, 0.40, -0.25, 10.09, 0.02, 0.02, 0.00, 860.3524930863093, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884209.1119943, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, 0.00, 860.5057039561332, 859.900450163295, 24.31847682952881, 18:3:25, 
1654884209.1518528, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, 0.00, 860.3078012315744, 859.928005007354, 24.33589443206787, 18:3:25, 
1654884209.191358, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, 0.00, 860.5583581528036, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884209.2307944, 22.85546875, 32.045551201860086, 859.5523463110802, 0.36, -0.22, 10.03, 0.01, 0.01, 0.00, 860.4601131273088, 859.900450163295, 24.31847682952881, 18:3:25, 
1654884209.3087618, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, 0.01, 860.3142224750709, 859.9975634483969, 24.31847682952881, 18:3:25, 
1654884209.3479486, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, 0.00, 860.283785780898, 859.9975634483969, 24.31847682952881, 18:3:25, 
1654884209.387215, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.02, 0.01, 860.4172192207529, 859.900450163295, 24.31847682952881, 18:3:25, 
1654884209.4266675, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, -0.00, 860.3259091382344, 860.0251217250875, 24.33589443206787, 18:3:25, 
1654884209.4735174, 22.8501953125, 32.13999981951396, 859.5523463110802, 0.36, -0.22, 10.03, 0.02, 0.01, 0.00, 860.5464146399003, 860.0251217250875, 24.33589443206787, 18:3:26, 
1654884209.549134, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.00, -0.00, 860.5466714896401, 859.928005007354, 24.33589443206787, 18:3:26, 
1654884209.588751, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, 0.00, 860.5050618317836, 859.928005007354, 24.33589443206787, 18:3:26, 
1654884209.6282916, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, -0.00, 860.5104556763205, 859.9975634483969, 24.31847682952881, 18:3:26, 
1654884209.6676323, -, -, -, 0.36, -0.22, 10.03, 0.02, 0.01, 0.00, 860.2681179467669, 859.9975634483969, 24.31847682952881, 18:3:26, 
