SystemTime, ADC 1 (Vibration), ADC 2, ADC 3, ADC 4, ADC 5, ADC 6, ADC 7, ADC 8, 
1657907644.6212106, 469, 1, 2, 0, 0, 0, 0, 0, 
1657907644.6250532, 433, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6276526, 399, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6303854, 370, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6332333, 341, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6359, 316, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6385438, 290, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6413019, 270, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6439714, 251, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6469214, 232, 1, 2, 0, 0, 0, 0, 0, 
1657907644.6582558, 215, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6610193, 198, 1, 3, 0, 0, 0, 0, 0, 
1657907644.663526, 183, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6660802, 170, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6686213, 159, 1, 0, 0, 0, 0, 0, 0, 
1657907644.671123, 145, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6735957, 137, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6761289, 124, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6786678, 115, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6813414, 106, 1, 0, 0, 0, 0, 0, 0, 
1657907644.6953034, 99, 1, 0, 0, 0, 0, 0, 0, 
1657907644.698532, 93, 1, 4, 0, 0, 0, 0, 0, 
1657907644.701047, 86, 1, 1, 0, 0, 0, 0, 0, 
1657907644.7035427, 79, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7060454, 73, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7085686, 69, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7110322, 62, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7134926, 58, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7159524, 56, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7184134, 50, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7262003, 46, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7287073, 43, 1, 0, 0, 0, 0, 0, 0, 
1657907644.731017, 40, 1, 0, 0, 0, 0, 0, 0, 
1657907644.733303, 37, 1, 0, 0, 0, 0, 0, 0, 
1657907644.735631, 36, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7379596, 33, 1, 0, 0, 0, 0, 0, 0, 
1657907644.740259, 30, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7427578, 27, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7453125, 24, 1, 0, 0, 0, 0, 0, 0, 
1657907644.747714, 24, 1, 0, 0, 0, 0, 0, 0, 
1657907644.756941, 22, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7593808, 20, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7616873, 19, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7639868, 17, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7662795, 16, 1, 0, 0, 0, 0, 0, 0, 
1657907644.769274, 14, 1, 2, 0, 0, 0, 0, 0, 
1657907644.7716055, 15, 1, 2, 0, 0, 0, 0, 0, 
1657907644.773922, 14, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7762501, 13, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7786245, 11, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7856243, 10, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7881093, 10, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7904358, 9, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7932482, 8, 1, 0, 0, 0, 0, 0, 0, 
1657907644.7955892, 9, 1, 2, 0, 0, 0, 0, 0, 
1657907644.797926, 9, 1, 0, 0, 0, 0, 0, 0, 
