SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1657908739.1168573, 337, 1, 
1657908739.119932, 311, 1, 
1657908739.1222172, 287, 1, 
1657908739.1243682, 264, 1, 
1657908739.1265252, 245, 1, 
1657908739.128907, 225, 1, 
1657908739.131049, 209, 1, 
1657908739.1331832, 193, 1, 
1657908739.1353662, 178, 1, 
1657908739.1375155, 165, 1, 
1657908739.149848, 154, 1, 
1657908739.1527894, 141, 1, 
1657908739.1549144, 132, 1, 
1657908739.1570163, 122, 1, 
1657908739.159139, 112, 1, 
1657908739.1612518, 104, 1, 
1657908739.16337, 96, 1, 
1657908739.1654782, 89, 1, 
1657908739.1675975, 83, 1, 
1657908739.169723, 76, 1, 
1657908739.1766956, 71, 1, 
1657908739.1790187, 66, 1, 
1657908739.1850967, 61, 1, 
1657908739.1883516, 57, 1, 
1657908739.1906433, 53, 1, 
1657908739.1927485, 48, 1, 
1657908739.1948562, 46, 1, 
1657908739.1969743, 41, 1, 
1657908739.1990726, 38, 1, 
1657908739.2012076, 36, 1, 
1657908739.207978, 34, 1, 
1657908739.2101831, 30, 1, 
1657908739.2125337, 28, 1, 
1657908739.2147057, 26, 1, 
1657908739.216818, 21, 1, 
1657908739.2189293, 22, 1, 
1657908739.2210355, 21, 1, 
1657908739.2232149, 19, 1, 
1657908739.2254727, 18, 1, 
1657908739.2278287, 17, 1, 
1657908739.2370322, 16, 1, 
1657908739.23947, 15, 1, 
1657908739.2417755, 14, 1, 
1657908739.244095, 13, 1, 
1657908739.2463956, 12, 1, 
1657908739.2486942, 11, 1, 
1657908739.2509816, 11, 1, 
1657908739.253285, 9, 1, 
1657908739.2555976, 9, 1, 
1657908739.2579224, 6, 1, 
1657908739.2655292, 7, 1, 
1657908739.2679858, 7, 1, 
1657908739.2703073, 6, 1, 
1657908739.272608, 6, 1, 
1657908739.2748923, 6, 1, 
1657908739.2771828, 5, 1, 
1657908739.2794726, 5, 1, 
1657908739.281775, 5, 1, 
1657908739.2843435, 4, 1, 
1657908739.2867298, 4, 1, 
1657908739.2942502, 3, 1, 
1657908739.2966607, 4, 1, 
1657908739.298976, 3, 1, 
1657908739.3012793, 3, 1, 
1657908739.3035798, 2, 1, 
1657908739.3058703, 4, 1, 
1657908739.308749, 2, 1, 
1657908739.311126, 1, 1, 
1657908739.3135226, 1, 1, 
1657908739.320366, 2, 1, 
1657908739.3277745, 3, 1, 
1657908739.3302186, 1, 1, 
1657908739.3325276, 2, 1, 
1657908739.3348198, 0, 1, 
1657908739.3371196, 2, 1, 
1657908739.3394344, 1, 1, 
1657908739.3417633, 1, 1, 
1657908739.3444386, 1, 1, 
1657908739.3469317, 2, 1, 
1657908739.3492303, 1, 1, 
1657908739.3562403, 1, 1, 
1657908739.3587477, 1, 1, 
1657908739.3610587, 1, 1, 
1657908739.363356, 0, 1, 
1657908739.3656647, 1, 1, 
1657908739.3684044, 0, 1, 
1657908739.3709638, 1, 1, 
1657908739.3732684, 0, 1, 
1657908739.37556, 0, 1, 
1657908739.3779051, 0, 1, 
1657908739.3850565, 0, 1, 
1657908739.387482, 0, 1, 
1657908739.389806, 0, 1, 
1657908739.3925061, 0, 1, 
1657908739.39501, 0, 1, 
1657908739.397328, 0, 1, 
1657908739.399616, 0, 1, 
1657908739.401893, 0, 1, 
1657908739.4042046, 0, 1, 
1657908739.4065008, 0, 1, 
1657908739.4156816, 0, 1, 
1657908739.4185798, 0, 1, 
1657908739.4213886, 0, 1, 
1657908739.424081, 0, 1, 
1657908739.4264376, 0, 1, 
1657908739.4287505, 0, 1, 
1657908739.431095, 0, 1, 
1657908739.4335344, 0, 1, 
1657908739.4359572, 0, 1, 
1657908739.4382982, 0, 1, 
1657908739.445366, 0, 1, 
1657908739.4479752, 0, 1, 
1657908739.4503837, 0, 1, 
1657908739.452728, 1, 1, 
1657908739.455106, 0, 1, 
1657908739.4576297, 0, 1, 
1657908739.460139, 0, 1, 
1657908739.4624493, 0, 1, 
1657908739.4647598, 0, 1, 
1657908739.4670665, 0, 1, 
1657908739.474131, 0, 1, 
1657908739.4765482, 0, 1, 
1657908739.4789221, 0, 1, 
1657908739.481635, 0, 1, 
1657908739.4841175, 0, 1, 
1657908739.4865706, 0, 1, 
1657908739.492597, 0, 1, 
1657908739.496037, 0, 1, 
1657908739.4984496, 0, 1, 
1657908739.5007408, 0, 1, 
1657908739.5080457, 0, 1, 
1657908739.5104659, 0, 1, 
1657908739.5127544, 0, 1, 
1657908739.5150516, 0, 1, 
1657908739.5173292, 0, 1, 
1657908739.520051, 0, 1, 
1657908739.5224123, 0, 1, 
1657908739.5247157, 0, 1, 
1657908739.527013, 0, 1, 
1657908739.52933, 0, 1, 
1657908739.5391169, 0, 1, 
1657908739.5415273, 0, 1, 
1657908739.5441763, 0, 1, 
1657908739.546521, 0, 1, 
1657908739.5488598, 0, 1, 
1657908739.5511546, 0, 1, 
1657908739.5534472, 0, 1, 
1657908739.55574, 0, 1, 
1657908739.5580745, 0, 1, 
1657908739.5604, 0, 1, 
1657908739.5685008, 0, 1, 
1657908739.570969, 0, 1, 
1657908739.573269, 0, 1, 
1657908739.5755641, 0, 1, 
1657908739.5778866, 0, 1, 
1657908739.5801864, 0, 1, 
1657908739.582484, 0, 1, 
1657908739.5847788, 0, 1, 
1657908739.5870473, 0, 1, 
1657908739.5893345, 0, 1, 
1657908739.59736, 0, 1, 
1657908739.599798, 0, 1, 
1657908739.6021023, 0, 1, 
1657908739.604389, 0, 1, 
1657908739.6066577, 0, 1, 
1657908739.6089613, 0, 1, 
1657908739.6112792, 0, 1, 
1657908739.6137037, 0, 1, 
1657908739.616304, 0, 1, 
1657908739.6187768, 0, 1, 
1657908739.6268432, 0, 1, 
1657908739.630368, 0, 1, 
1657908739.6326637, 0, 1, 
1657908739.6349792, 0, 1, 
1657908739.637276, 0, 1, 
1657908739.6395915, 0, 1, 
1657908739.641947, 0, 1, 
1657908739.6442585, 0, 1, 
1657908739.6465838, 0, 1, 
1657908739.648948, 0, 1, 
1657908739.656237, 0, 1, 
1657908739.6586792, 0, 1, 
1657908739.660976, 0, 1, 
1657908739.663246, 0, 1, 
1657908739.6655548, 0, 1, 
1657908739.6678839, 0, 1, 
1657908739.670181, 0, 1, 
1657908739.6724865, 0, 1, 
1657908739.6747842, 0, 1, 
1657908739.6776154, 0, 1, 
1657908739.6868048, 0, 1, 
1657908739.6892347, 0, 1, 
1657908739.691554, 0, 1, 
1657908739.6938326, 0, 1, 
1657908739.6961288, 0, 1, 
1657908739.6985598, 0, 1, 
1657908739.7012572, 0, 1, 
1657908739.703627, 0, 1, 
1657908739.705922, 0, 1, 
1657908739.7082846, 0, 1, 
1657908739.7155733, 0, 1, 
1657908739.7180398, 0, 1, 
1657908739.7203531, 0, 1, 
1657908739.722656, 0, 1, 
1657908739.7252543, 0, 1, 
1657908739.7276545, 0, 1, 
1657908739.730298, 0, 1, 
1657908739.7326171, 0, 1, 
1657908739.7349792, 0, 1, 
1657908739.7373688, 0, 1, 
1657908739.7446003, 0, 1, 
1657908739.7470064, 0, 1, 
1657908739.7493339, 0, 1, 
1657908739.7518153, 0, 1, 
1657908739.7541873, 0, 1, 
1657908739.756509, 0, 1, 
1657908739.7588897, 0, 1, 
1657908739.7612164, 5, 1, 
1657908739.7636728, 0, 1, 
1657908739.7660127, 0, 1, 
1657908739.773262, 0, 1, 
1657908739.7756984, 0, 1, 
1657908739.7781155, 0, 1, 
1657908739.7804174, 0, 1, 
1657908739.7826874, 0, 1, 
1657908739.7850223, 0, 1, 
1657908739.78764, 0, 1, 
1657908739.7899947, 0, 1, 
1657908739.7924395, 0, 1, 
1657908739.7982795, 0, 1, 
1657908739.806856, 0, 1, 
1657908739.8092644, 0, 1, 
1657908739.8115826, 0, 1, 
1657908739.8139205, 0, 1, 
1657908739.8162184, 0, 1, 
1657908739.818539, 0, 1, 
1657908739.8208325, 0, 1, 
1657908739.823127, 0, 1, 
1657908739.8256736, 0, 1, 
1657908739.828105, 0, 1, 
1657908739.8373742, 0, 1, 
1657908739.8397965, 0, 1, 
1657908739.8420968, 0, 1, 
1657908739.844384, 0, 1, 
1657908739.846643, 0, 1, 
1657908739.8494835, 0, 1, 
1657908739.851803, 0, 1, 
1657908739.8541305, 0, 1, 
1657908739.856425, 0, 1, 
1657908739.8587606, 0, 1, 
1657908739.8663561, 0, 1, 
1657908739.86882, 0, 1, 
1657908739.871128, 0, 1, 
1657908739.8739967, 0, 1, 
1657908739.8763103, 0, 1, 
1657908739.8786323, 0, 1, 
1657908739.8809388, 0, 1, 
