SystemTime, ADC, 
1657761489.5945334, 128, 
1657761489.6280122, 119, 
1657761489.6563838, 105, 
1657761489.6890633, 105, 
1657761489.7247198, 87, 
1657761489.7601001, 89, 
1657761489.7956038, 77, 
1657761489.8266034, 74, 
1657761489.8601995, 74, 
1657761489.8898182, 56, 
1657761489.927543, 56, 
1657761489.954224, 58, 
1657761489.986655, 53, 
1657761490.010793, 56, 
1657761490.0367389, 42, 
1657761490.0753067, 55, 
1657761490.1056492, 45, 
1657761490.1384525, 44, 
1657761490.1743472, 33, 
1657761490.210258, 35, 
1657761490.2378225, 33, 
1657761490.2706652, 26, 
1657761490.3033319, 15, 
1657761490.3317344, 23, 
1657761490.355989, 13, 
1657761490.3841748, 14, 
1657761490.4123476, 22, 
1657761490.4460833, 10, 
1657761490.4728146, 18, 
1657761490.5090444, 10, 
1657761490.5362785, 29, 
1657761490.5727267, 12, 
1657761490.6032555, 18, 
1657761490.6427243, 0, 
1657761490.6691775, 0, 
1657761490.7047768, 4, 
1657761490.7460809, 0, 
1657761490.7702978, 2, 
1657761490.8092885, 86, 
1657761490.8458314, 96, 
1657761490.8951116, 53, 
1657761490.9230304, 58, 
1657761490.9582934, 86, 
1657761491.013248, 104, 
1657761491.0396495, 74, 
1657761491.0750415, 79, 
1657761491.0991402, 75, 
1657761491.1233165, 64, 
1657761491.1476479, 53, 
1657761491.1719468, 57, 
1657761492.111005, 499, 
1657761492.1357524, 460, 
1657761492.1639776, 415, 
1657761492.1920588, 360, 
1657761492.2395709, 283, 
1657761492.2708604, 233, 
1657761492.3040278, 201, 
1657761492.3338318, 176, 
1657761492.3789139, 149, 
1657761492.4186184, 126, 
1657761492.4449122, 119, 
1657761492.4797106, 100, 
1657761492.5119238, 100, 
1657761492.5397823, 100, 
1657761492.577009, 96, 
1657761492.6068928, 101, 
1657761492.6600792, 113, 
1657761492.6903527, 123, 
1657761492.7232914, 140, 
1657761492.7527769, 159, 
1657761492.7955549, 184, 
1657761492.8352644, 210, 
1657761492.8648617, 216, 
1657761492.88941, 223, 
1657761492.9191637, 230, 
1657761492.9714882, 222, 
1657761493.0082405, 245, 
1657761493.0413306, 248, 
1657761493.0745692, 270, 
1657761493.1141133, 282, 
1657761493.1474607, 297, 
1657761493.1799927, 302, 
1657761493.2124453, 311, 
1657761493.2581084, 311, 
1657761493.2857409, 303, 
1657761493.313289, 274, 
1657761493.345938, 268, 
1657761493.3874705, 269, 
1657761493.4203844, 279, 
1657761493.4500732, 304, 
1657761493.49144, 338, 
1657761493.5391796, 381, 
1657761493.566401, 395, 
1657761493.6045227, 423, 
1657761493.6308014, 424, 
1657761493.6677575, 418, 
1657761493.6979442, 384, 
1657761493.7309437, 384, 
1657761493.7644918, 407, 
1657761493.8107572, 419, 
1657761493.8417203, 429, 
1657761493.8750796, 427, 
1657761493.9193935, 441, 
1657761493.9525046, 436, 
1657761493.9860277, 439, 
1657761494.0124311, 436, 
1657761494.0602427, 430, 
1657761494.0993707, 396, 
1657761494.1296575, 405, 
1657761494.1781123, 428, 
1657761494.2115333, 441, 
1657761494.2441597, 441, 
1657761494.2738588, 364, 
1657761494.3184743, 263, 
1657761494.352542, 184, 
1657761494.3851666, 150, 
1657761494.4098232, 132, 
1657761494.4400787, 110, 
1657761494.4903204, 97, 
1657761494.5233421, 82, 
1657761494.557944, 78, 
1657761494.5897155, 80, 
1657761494.636432, 164, 
1657761494.6662421, 365, 
1657761494.6988084, 448, 
1657761494.734795, 355, 
1657761494.7775612, 525, 
1657761494.8021097, 343, 
1657761494.8265452, 194, 
1657761494.8729546, 94, 
1657761494.9161417, 179, 
1657761494.9495354, 221, 
1657761494.983409, 343, 
1657761495.03113, 242, 
1657761495.060886, 262, 
1657761495.0903666, 292, 
1657761495.1318352, 365, 
1657761495.1634908, 498, 
1657761495.189585, 536, 
1657761495.2294464, 523, 
1657761495.2568328, 463, 
1657761495.3165512, 462, 
1657761495.3505347, 493, 
1657761495.3804069, 495, 
1657761495.4170432, 375, 
1657761495.45954, 303, 
1657761495.4948711, 289, 
1657761495.5193298, 250, 
1657761495.5503416, 160, 
1657761495.5981622, 117, 
1657761495.6279123, 115, 
1657761495.6614707, 110, 
1657761495.7038667, 115, 
1657761495.7400753, 124, 
1657761495.770457, 130, 
1657761495.8101032, 133, 
1657761495.8472257, 146, 
1657761495.8749847, 159, 
1657761495.8998215, 154, 
1657761495.9308715, 164, 
1657761495.9823258, 159, 
1657761496.0104697, 147, 
1657761496.0504005, 152, 
1657761496.0896668, 161, 
1657761496.1230497, 144, 
1657761496.1562958, 154, 
1657761496.193499, 149, 
1657761496.2320302, 151, 
1657761496.2595367, 159, 
1657761496.2838824, 142, 
1657761496.3456705, 134, 
1657761496.3753934, 144, 
1657761496.408345, 151, 
1657761496.4432373, 151, 
1657761496.4895716, 162, 
1657761496.5195887, 159, 
1657761496.5525627, 156, 
1657761496.5887492, 159, 
1657761496.6348422, 153, 
1657761496.6594584, 160, 
1657761496.6882768, 151, 
1657761496.7316825, 167, 
1657761496.768771, 182, 
1657761496.8051312, 174, 
1657761496.8382077, 172, 
1657761496.8804476, 85, 
1657761496.9074059, 74, 
1657761496.9396122, 62, 
1657761496.9688272, 46, 
1657761497.0106335, 33, 
1657761497.037404, 26, 
1657761497.0612235, 21, 
1657761497.0994186, 22, 
1657761497.1315174, 31, 
1657761497.1772306, 91, 
1657761497.2099054, 166, 
1657761497.2425203, 176, 
1657761497.285971, 163, 
1657761497.3187315, 148, 
1657761497.3486493, 147, 
1657761497.3786762, 143, 
1657761497.4197853, 128, 
1657761497.4508681, 129, 
1657761497.4843087, 270, 
1657761497.5210643, 337, 
1657761497.572787, 372, 
1657761497.6118588, 359, 
1657761497.6389275, 333, 
1657761497.6811368, 331, 
1657761497.7174544, 238, 
1657761497.749234, 194, 
1657761497.7738335, 219, 
1657761497.8048809, 162, 
1657761497.8510673, 187, 
1657761497.8782568, 166, 
1657761497.9141014, 171, 
1657761497.9510305, 162, 
1657761497.9908433, 168, 
1657761498.0206516, 140, 
1657761498.0532432, 135, 
1657761498.1061537, 191, 
1657761498.1354911, 126, 
1657761498.1597433, 129, 
1657761498.183979, 135, 
1657761498.2301328, 154, 
1657761498.2733462, 96, 
1657761498.306185, 142, 
1657761498.3358169, 75, 
1657761498.3851922, 127, 
1657761498.4169562, 104, 
1657761498.445507, 102, 
1657761498.4880378, 34, 
1657761498.5220737, 67, 
1657761498.5496912, 35, 
1657761498.5868568, 47, 
1657761498.6168404, 50, 
1657761498.6632612, 57, 
1657761498.6904745, 49, 
1657761498.7267764, 0, 
1657761498.7685056, 70, 
1657761498.8027415, 45, 
1657761498.8310292, 38, 
1657761498.8637059, 28, 
1657761498.8888516, 46, 
1657761498.916456, 30, 
1657761498.9519536, 7, 
1657761498.9850411, 28, 
1657761499.028377, 40, 
1657761499.0614316, 5, 
1657761499.0923953, 21, 
1657761499.1319222, 51, 
1657761499.177539, 15, 
1657761499.2076943, 14, 
1657761499.2432024, 28, 
1657761499.2675886, 8, 
1657761499.3017054, 12, 
1657761499.3407106, 11, 
1657761499.3710842, 21, 
1657761499.410599, 0, 
1657761499.4473364, 31, 
1657761499.4799933, 27, 
1657761499.5101597, 22, 
1657761499.5497675, 30, 
1657761499.5893826, 33, 
1657761499.6156235, 53, 
1657761499.6404223, 2, 
1657761499.6671133, 0, 
1657761499.7208202, 28, 
1657761499.748932, 39, 
1657761499.7887468, 49, 
1657761499.825776, 26, 
1657761499.865476, 28, 
1657761499.8983493, 67, 
1657761499.9277506, 51, 
1657761499.9670293, 21, 
1657761499.9989657, 30, 
1657761500.022998, 18, 
1657761500.0469174, 10, 
1657761500.0917864, 0, 
1657761500.1379466, 13, 
1657761500.1616135, 23, 
1657761500.2003584, 8, 
1657761500.2410429, 12, 
1657761500.2808437, 13, 
1657761500.332691, 0, 
1657761500.377763, 17, 
1657761500.4147265, 1, 
1657761500.447641, 15, 
1657761500.4996874, 0, 
1657761500.5400038, 16, 
1657761500.573992, 9, 
1657761500.6085248, 1, 
1657761500.63851, 10, 
1657761500.685586, 9, 
1657761500.7156825, 21, 
1657761500.7479773, 8, 
1657761500.7739272, 9, 
1657761500.8070304, 5, 
1657761500.8442228, 10, 
1657761500.8741648, 9, 
