SystemTime, ADC, 
1654878429.703084, 2, 
1654878429.719111, 3, 
1654878429.7307353, 2, 
1654878429.743887, 2, 
1654878429.7553883, 1, 
1654878429.766855, 2, 
1654878429.778536, 2, 
1654878429.7904763, 4, 
1654878429.802182, 0, 
1654878429.814115, 0, 
1654878429.827243, 1, 
1654878429.839169, 2, 
1654878429.8511, 1, 
1654878429.8633926, 1, 
1654878429.8754814, 2, 
1654878429.887508, 1, 
1654878429.899593, 1, 
1654878429.9115698, 1, 
1654878429.9237072, 2, 
1654878429.9382195, 1, 
1654878429.9471526, 0, 
1654878429.9601247, 1, 
1654878429.9730544, 1, 
1654878429.9850724, 1, 
1654878429.9986732, 1, 
1654878430.0134728, 0, 
1654878430.0263, 1, 
1654878430.039201, 1, 
1654878430.0522358, 2, 
1654878430.0645225, 0, 
1654878430.0757635, 0, 
1654878430.0896778, 1, 
1654878430.1027129, 1, 
1654878430.1150644, 0, 
1654878430.1277015, 1, 
1654878430.1401649, 1, 
1654878430.1529982, 1, 
1654878430.166903, 0, 
1654878430.1800187, 0, 
1654878430.1933875, 1, 
1654878430.2010882, 1, 
1654878430.213247, 0, 
1654878430.2276576, 1, 
1654878430.241562, 1, 
1654878430.253801, 2, 
1654878430.2659593, 0, 
1654878430.2780824, 0, 
1654878430.2901394, 1, 
1654878430.3028455, 0, 
1654878430.3174105, 1, 
1654878430.3286119, 0, 
1654878430.340944, 2, 
1654878430.3530993, 1, 
1654878430.3650465, 0, 
1654878430.379207, 0, 
1654878430.3937676, 1, 
1654878430.406187, 1, 
1654878430.41871, 0, 
1654878430.4335682, 0, 
1654878430.445802, 1, 
1654878430.4587605, 1, 
1654878430.47251, 2, 
1654878430.4847403, 0, 
1654878430.4966996, 0, 
1654878430.5087583, 1, 
1654878430.5206945, 1, 
1654878430.5327342, 0, 
1654878430.545531, 1, 
1654878430.5591702, 0, 
1654878430.571192, 2, 
1654878430.5795279, 0, 
1654878430.5924067, 1, 
1654878430.604544, 1, 
1654878430.6177099, 0, 
1654878430.6320367, 0, 
1654878430.645167, 0, 
1654878430.6583347, 1, 
1654878430.670838, 1, 
1654878430.6827812, 0, 
1654878430.6957288, 0, 
1654878430.706864, 1, 
1654878430.7190769, 0, 
1654878430.7319803, 0, 
1654878430.7445178, 0, 
1654878430.7564826, 1, 
1654878430.770765, 1, 
1654878430.7849271, 1, 
1654878430.7976973, 1, 
1654878430.8102434, 0, 
1654878430.8229537, 1, 
1654878430.8326771, 0, 
1654878430.846523, 0, 
1654878430.860945, 1, 
1654878430.8731735, 1, 
1654878430.8857152, 0, 
1654878430.897765, 1, 
1654878430.9103024, 0, 
1654878430.9236875, 2, 
1654878430.9379025, 0, 
1654878430.9506412, 0, 
1654878430.9592354, 1, 
1654878430.9715316, 0, 
1654878430.9835172, 0, 
1654878430.99825, 0, 
1654878431.0134382, 0, 
1654878431.026265, 3, 
1654878431.0382984, 0, 
1654878431.050498, 0, 
1654878431.0623758, 0, 
1654878431.0752583, 1, 
1654878431.1222923, 1, 
1654878431.1347096, 1, 
1654878431.1487036, 0, 
1654878431.161661, 0, 
1654878431.1742346, 1, 
1654878431.186424, 0, 
1654878431.1991923, 0, 
1654878431.2114372, 0, 
1654878431.2244549, 1, 
1654878431.2374077, 1, 
1654878431.2467895, 0, 
1654878431.2593877, 2, 
1654878431.2718298, 0, 
1654878431.2841654, 1, 
1654878431.2961228, 1, 
1654878431.3084006, 1, 
1654878431.3216004, 1, 
1654878431.3337328, 0, 
1654878431.3466384, 0, 
1654878431.3592727, 2, 
1654878431.3693855, 1, 
1654878431.3837192, 0, 
1654878431.3970828, 1, 
1654878431.4094594, 1, 
1654878431.4223933, 0, 
1654878431.434848, 1, 
1654878431.4467087, 1, 
1654878431.4607525, 0, 
1654878431.4736507, 1, 
