SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1658533376.7177207, 23.9578125, 38.02197199500147, 855.4607478578773, 0.05, -1.57, 10.01, 0.03, 0.00, 0.01, 856.5156716723477, 855.6083114475733, 25.17193935394287, 17:42:55,  
1658533376.7903097, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.02, 0.01, -, -, -, -, 
1658533376.8141267, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.00, 0.02, -, -, -, -, 
1658533376.8381996, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.02, -, -, -, -, 
1658533376.8621962, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533376.886182, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, 856.3963649681849, 855.8028744156635, 25.17193935394287, -, 
1658533376.9233131, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533376.9472933, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.00, 0.01, -, -, -, -, 
1658533376.971209, -, -, -, 0.05, -1.57, 10.01, 0.04, 0.01, 0.01, -, -, -, -, 
1658533376.9951031, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.0245726, 23.962890625, 38.16652732429943, 855.420490456708, 0.05, -1.57, 10.01, 0.03, 0.00, 0.01, 856.5536854338463, 855.7055929316184, 25.17193935394287, 17:42:55,  
1658533377.0967438, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.1206872, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.00, 0.01, -, -, -, -, 
1658533377.1446052, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.168642, -, -, -, 0.05, -1.57, 10.01, 0.04, 0.01, 0.01, -, -, -, -, 
1658533377.192638, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, 856.5024439107452, 855.7055929316184, 25.17193935394287, -, 
1658533377.2294867, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.02, 0.01, -, -, -, -, 
1658533377.2534769, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.277431, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.00, 0.01, -, -, -, -, 
1658533377.3015037, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.33284, 23.96796875, 38.22210744801231, 855.4406193563489, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, 856.3433254969046, 855.7055929316184, 25.17193935394287, 17:42:55,  
1658533377.4065304, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.02, 0.02, -, -, -, -, 
1658533377.4306304, -, -, -, 0.05, -1.57, 10.01, 0.03, -0.00, 0.01, -, -, -, -, 
1658533377.4544137, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.4785018, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.5024385, -, -, -, 0.05, -1.57, 10.01, 0.04, 0.01, 0.02, 856.4723924911822, 855.7055929316184, 25.17193935394287, -, 
1658533377.5392303, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.02, 0.01, -, -, -, -, 
1658533377.5632596, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.02, 0.02, -, -, -, -, 
1658533377.5872216, -, -, -, 0.05, -1.57, 10.01, 0.04, 0.01, 0.02, -, -, -, -, 
1658533377.6112192, -, -, -, 0.05, -1.57, 10.01, 0.03, 0.00, 0.02, -, -, -, -, 
1658533377.642498, 23.962890625, 38.311062116033256, 855.4478980019422, 0.05, -1.57, 10.01, 0.03, 0.01, 0.01, 856.4036851857707, 855.8028744156635, 25.17193935394287, 17:42:56,  
1658533377.7158086, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.7398725, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.01, 0.02, -, -, -, -, 
1658533377.7637553, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658533377.7876332, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.00, -, -, -, -, 
1658533377.8115957, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.01, 0.01, 856.5333943043977, 855.7329521156825, 25.189356956481934, -, 
1658533377.8486614, -, -, -, -0.07, -1.53, 9.97, 0.02, 0.01, 0.01, -, -, -, -, 
1658533377.872823, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.00, 0.01, -, -, -, -, 
1658533377.8968172, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.01, 0.02, -, -, -, -, 
1658533377.921008, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.00, -, -, -, -, 
1658533377.9549181, 23.962890625, 38.116470773483805, 855.4825844599852, -0.07, -1.53, 9.97, 0.03, 0.00, 0.01, 856.4047125847301, 855.8028744156635, 25.17193935394287, 17:42:56,  
1658533378.0273294, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658533378.054622, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.00, -, -, -, -, 
1658533378.078499, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.00, 0.01, -, -, -, -, 
1658533378.1026893, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.01, 0.01, -, -, -, -, 
1658533378.126708, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.01, 0.01, 856.4604489782788, 855.7329521156825, 25.189356956481934, -, 
1658533378.1645617, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.01, 0.01, -, -, -, -, 
1658533378.1888103, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.01, 0.01, -, -, -, -, 
1658533378.2129714, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.00, 0.01, -, -, -, -, 
1658533378.2369719, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.02, -, -, -, -, 
1658533378.2687843, 23.96796875, 38.344412671775025, 855.468026698473, -0.07, -1.53, 9.97, 0.03, 0.01, 0.02, 856.5416134960731, 855.7055929316184, 25.17193935394287, 17:42:56,  
1658533378.3411736, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658533378.3654726, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.00, 0.01, -, -, -, -, 
1658533378.389525, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658533378.4135962, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658533378.4376838, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.02, 856.4553119834817, 855.7055929316184, 25.17193935394287, -, 
1658533378.4758635, -, -, -, -0.07, -1.53, 9.97, 0.04, 0.01, 0.02, -, -, -, -, 
1658533378.5003111, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.02, 0.02, -, -, -, -, 
1658533378.524322, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.00, 0.01, -, -, -, -, 
1658533378.54919, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.02, -, -, -, -, 
1658533378.5792093, 23.973046875, 38.333286461948, 855.427768907296, -0.07, -1.53, 9.97, 0.03, 0.01, 0.01, 856.524147713763, 855.7329521156825, 25.189356956481934, 17:42:57,  
1658533378.6527183, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.00, -, -, -, -, 
1658533378.676811, -, -, -, -0.07, -1.53, 9.97, 0.03, 0.01, 0.02, -, -, -, -, 
1658533378.7009165, -, -, -, -0.11, -1.57, 9.95, 0.04, 0.02, 0.01, -, -, -, -, 
1658533378.725073, -, -, -, -0.11, -1.57, 9.95, 0.04, 0.01, 0.01, -, -, -, -, 
1658533378.7491305, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, 856.4730346155317, 855.7055929316184, 25.17193935394287, -, 
1658533378.786124, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.00, 0.01, -, -, -, -, 
1658533378.8138616, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, -, -, -, -, 
1658533378.837844, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, -, -, -, -, 
1658533378.8618624, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.00, 0.01, -, -, -, -, 
1658533378.891981, 23.96796875, 38.36107809534564, 855.4825844599852, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, 856.4594215793194, 855.7055929316184, 25.17193935394287, 17:42:57,  
1658533378.9668548, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, -, -, -, -, 
1658533378.9908266, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, -, -, -, -, 
1658533379.01507, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.02, 0.02, -, -, -, -, 
1658533379.0389886, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, -, -, -, -, 
1658533379.0627818, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.00, 0.01, 856.5530433094967, 855.7055929316184, 25.17193935394287, -, 
1658533379.0996215, -, -, -, -0.11, -1.57, 9.95, 0.04, 0.01, 0.01, -, -, -, -, 
1658533379.123656, -, -, -, -0.11, -1.57, 9.95, 0.04, 0.01, 0.02, -, -, -, -, 
1658533379.147683, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, -, -, -, -, 
1658533379.1715753, -, -, -, -0.11, -1.57, 9.95, 0.04, 0.01, 0.01, -, -, -, -, 
1658533379.2068353, 23.978125, 38.42779979893713, 855.4551766743073, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, 856.4214078178208, 855.8028744156635, 25.17193935394287, 17:42:57,  
1658533379.2797909, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.00, 0.01, -, -, -, -, 
1658533379.303606, -, -, -, -0.11, -1.57, 9.95, 0.04, 0.01, 0.02, -, -, -, -, 
1658533379.3289032, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.02, -, -, -, -, 
1658533379.3528736, -, -, -, -0.11, -1.57, 9.95, 0.04, 0.00, 0.01, -, -, -, -, 
1658533379.3767867, -, -, -, -0.11, -1.57, 9.95, 0.04, 0.01, 0.01, 856.4658428228157, 855.830237032359, 25.189356956481934, -, 
1658533379.4137657, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, -, -, -, -, 
1658533379.4377997, -, -, -, -0.11, -1.57, 9.95, 0.03, 0.01, 0.01, -, -, -, -, 
