SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1658533376.718438, 726, 315, 
1658533376.721535, 670, 317, 
1658533376.7237303, 618, 317, 
1658533376.7259018, 570, 317, 
1658533376.7281055, 528, 317, 
1658533376.7304752, 489, 315, 
1658533376.732626, 451, 315, 
1658533376.7347996, 417, 317, 
1658533376.7369342, 385, 317, 
1658533376.7391138, 357, 317, 
1658533376.748022, 332, 317, 
1658533376.7502596, 307, 316, 
1658533376.7529302, 284, 317, 
1658533376.755128, 262, 317, 
1658533376.7572432, 242, 318, 
1658533376.759386, 223, 318, 
1658533376.761496, 207, 317, 
1658533376.7636135, 193, 317, 
1658533376.7657216, 179, 317, 
1658533376.7678385, 165, 317, 
1658533376.7750592, 154, 317, 
1658533376.7774842, 143, 317, 
1658533376.7798445, 133, 316, 
1658533376.7821388, 123, 317, 
1658533376.78925, 114, 318, 
1658533376.7915828, 106, 317, 
1658533376.7937133, 98, 317, 
1658533376.7958515, 91, 317, 
1658533376.7979832, 85, 317, 
1658533376.8000968, 79, 317, 
1658533376.8088317, 74, 317, 
1658533376.811078, 68, 317, 
1658533376.8132124, 64, 316, 
1658533376.815732, 60, 317, 
1658533376.818084, 55, 317, 
1658533376.8204467, 53, 318, 
1658533376.8228004, 47, 317, 
1658533376.8251407, 44, 317, 
1658533376.8275082, 41, 317, 
1658533376.8298693, 38, 317, 
1658533376.8372293, 36, 316, 
1658533376.8401732, 34, 317, 
1658533376.8425148, 31, 318, 
1658533376.8448472, 29, 315, 
1658533376.8471973, 27, 318, 
1658533376.8495903, 25, 317, 
1658533376.8519144, 24, 317, 
1658533376.8542242, 22, 318, 
1658533376.8567219, 21, 317, 
1658533376.8590913, 19, 317, 
1658533376.8664916, 19, 317, 
1658533376.86897, 18, 317, 
1658533376.871322, 16, 317, 
1658533376.8736491, 16, 318, 
1658533376.8760147, 17, 318, 
1658533376.878359, 13, 318, 
1658533376.8807025, 12, 318, 
1658533376.883029, 12, 318, 
1658533376.8853648, 10, 318, 
1658533376.8881078, 11, 317, 
1658533376.895491, 10, 317, 
1658533376.8978977, 9, 317, 
1658533376.900271, 9, 317, 
1658533376.9027407, 9, 317, 
1658533376.9050722, 8, 317, 
1658533376.9073899, 6, 317, 
1658533376.9098632, 7, 317, 
1658533376.912484, 8, 316, 
1658533376.9148388, 6, 317, 
1658533376.9202092, 7, 318, 
1658533376.9289396, 7, 317, 
1658533376.9313617, 6, 317, 
1658533376.9336915, 6, 317, 
1658533376.9360096, 6, 317, 
1658533376.9383354, 5, 317, 
1658533376.9406512, 5, 317, 
1658533376.9429848, 5, 317, 
1658533376.9452987, 4, 318, 
1658533376.9481196, 4, 317, 
1658533376.9505675, 4, 317, 
1658533376.9576752, 4, 317, 
1658533376.9601402, 3, 318, 
1658533376.962477, 4, 317, 
1658533376.9647877, 3, 317, 
1658533376.967147, 4, 318, 
1658533376.9695103, 3, 317, 
1658533376.9720924, 3, 317, 
1658533376.9744358, 5, 317, 
1658533376.9767542, 3, 317, 
1658533376.9791217, 3, 317, 
1658533376.9883785, 4, 317, 
1658533376.9908407, 2, 317, 
1658533376.993167, 3, 317, 
1658533376.9958417, 2, 317, 
1658533376.998183, 3, 317, 
1658533377.0005157, 3, 317, 
1658533377.002837, 3, 317, 
1658533377.0051558, 2, 317, 
1658533377.0074697, 1, 317, 
1658533377.009837, 2, 317, 
1658533377.0173244, 2, 316, 
1658533377.0202146, 2, 317, 
1658533377.0225813, 3, 318, 
1658533377.0249288, 2, 316, 
1658533377.0273833, 0, 317, 
1658533377.029814, 2, 317, 
1658533377.0321527, 2, 317, 
1658533377.034587, 3, 315, 
1658533377.0371304, 2, 317, 
1658533377.039496, 0, 317, 
1658533377.0466738, 2, 315, 
