SystemTime, ADC, 
1654738180.3305895, 6, 
1654738180.3421636, 7, 
1654738180.3535657, 5, 
1654738180.364969, 4, 
1654738180.3763437, 6, 
1654738180.3876724, 4, 
1654738180.3990974, 5, 
1654738180.4105318, 5, 
1654738180.4218972, 4, 
1654738180.433234, 4, 
1654738180.4416611, 4, 
1654738180.4530048, 2, 
1654738180.4643123, 4, 
1654738180.475528, 1, 
1654738180.486737, 3, 
1654738180.497942, 3, 
1654738180.509335, 2, 
1654738180.5207021, 2, 
1654738180.5320745, 3, 
1654738180.5443673, 5, 
1654738180.5697708, 1, 
1654738180.5816123, 2, 
1654738180.5931878, 2, 
1654738180.6046195, 1, 
1654738180.61612, 1, 
1654738180.6286795, 2, 
1654738180.6401415, 3, 
1654738180.6515908, 1, 
1654738180.6629703, 1, 
1654738180.6744087, 1, 
1654738180.6817079, 2, 
1654738180.6930707, 1, 
1654738180.704424, 0, 
1654738180.7158036, 1, 
1654738180.7271876, 1, 
1654738180.7385712, 0, 
1654738180.7498543, 1, 
1654738180.7611458, 1, 
1654738180.7724652, 1, 
1654738180.783778, 0, 
1654738180.7906663, 0, 
1654738180.8039026, 0, 
1654738180.815285, 1, 
1654738180.8266318, 1, 
1654738180.8379424, 1, 
1654738180.849454, 1, 
1654738180.8608286, 1, 
1654738180.872244, 0, 
1654738180.8835874, 0, 
1654738180.8950884, 1, 
1654738180.9020762, 0, 
1654738180.91388, 1, 
1654738180.9257479, 0, 
1654738180.9374864, 1, 
1654738180.9497857, 1, 
1654738180.9616644, 1, 
1654738180.9734871, 1, 
1654738180.985326, 0, 
1654738180.997082, 1, 
1654738181.0094526, 1, 
1654738181.0159855, 0, 
1654738181.0277863, 0, 
1654738181.0395975, 0, 
1654738181.0517957, 0, 
1654738181.0635335, 1, 
1654738181.0753825, 1, 
1654738181.0871964, 0, 
1654738181.0991051, 0, 
1654738181.1109884, 1, 
1654738181.1227918, 1, 
1654738181.1315298, 0, 
1654738181.1433175, 0, 
1654738181.1550543, 1, 
1654738181.1668396, 0, 
1654738181.17859, 1, 
1654738181.1902869, 1, 
1654738181.2020452, 0, 
1654738181.2138515, 1, 
1654738181.2256618, 0, 
1654738181.2374425, 0, 
1654738181.2448735, 1, 
1654738181.2566676, 0, 
1654738181.269639, 0, 
1654738181.2825525, 0, 
1654738181.2943888, 1, 
1654738181.306123, 0, 
1654738181.3178663, 0, 
1654738181.3296444, 1, 
1654738181.3414211, 0, 
1654738181.353179, 0, 
1654738181.3600323, 3, 
1654738181.3718426, 1, 
1654738181.3836064, 0, 
1654738181.395357, 2, 
1654738181.4070745, 1, 
1654738181.4188535, 0, 
1654738181.430576, 2, 
1654738181.4421349, 1, 
1654738181.4539495, 0, 
1654738181.465714, 1, 
1654738181.473372, 1, 
1654738181.4851148, 0, 
1654738181.4968388, 1, 
1654738181.5086322, 0, 
1654738181.5204585, 0, 
1654738181.532432, 1, 
1654738181.5443633, 3, 
1654738181.5564697, 0, 
1654738181.5685298, 0, 
1654738181.5808518, 1, 
1654738181.5880983, 0, 
1654738181.6000183, 0, 
1654738181.611815, 0, 
1654738181.6238458, 1, 
1654738181.6358392, 0, 
1654738181.6478367, 1, 
1654738181.6600025, 1, 
1654738181.6721656, 0, 
1654738181.684181, 0, 
1654738181.6963243, 1, 
1654738181.7042124, 0, 
1654738181.7160385, 0, 
1654738181.7279112, 1, 
1654738181.739641, 1, 
1654738181.7514298, 0, 
1654738181.7632432, 1, 
1654738181.7750697, 1, 
1654738181.7869372, 0, 
1654738181.798746, 0, 
1654738181.810567, 0, 
1654738181.8182383, 0, 
1654738181.8301232, 0, 
1654738181.8419197, 1, 
1654738181.8537025, 1, 
1654738181.8654518, 0, 
1654738181.8772743, 0, 
1654738181.8891096, 0, 
1654738181.9009547, 0, 
1654738181.9127517, 1, 
1654738181.9249957, 2, 
1654738181.933365, 0, 
1654738181.9451237, 0, 
1654738181.9568732, 0, 
1654738181.9686139, 0, 
1654738181.980285, 1, 
1654738181.9919562, 0, 
1654738182.0037591, 0, 
1654738182.0155356, 1, 
1654738182.027379, 0, 
1654738182.0392103, 0, 
1654738182.0458014, 0, 
1654738182.057567, 0, 
1654738182.0693822, 0, 
1654738182.0811424, 0, 
1654738182.0929482, 1, 
1654738182.1048653, 0, 
1654738182.116852, 0, 
1654738182.128919, 0, 
1654738182.140747, 0, 
1654738182.1525695, 0, 
1654738182.1592565, 1, 
1654738182.1710536, 0, 
1654738182.1828408, 0, 
1654738182.194609, 1, 
1654738182.2063165, 0, 
1654738182.2178702, 0, 
1654738182.2295444, 0, 
1654738182.2412682, 0, 
1654738182.253, 0, 
1654738182.2648354, 0, 
1654738182.272796, 1, 
1654738182.2843568, 0, 
1654738182.2959216, 0, 
1654738182.3075275, 0, 
1654738182.3193514, 0, 
1654738182.331227, 0, 
1654738182.3430538, 1, 
1654738182.354899, 0, 
1654738182.3667414, 0, 
1654738182.378603, 3, 
1654738182.3876538, 0, 
1654738182.3994884, 0, 
1654738182.4111679, 1, 
1654738182.4227934, 0, 
1654738182.4343581, 0, 
1654738182.446021, 1, 
1654738182.4577017, 0, 
1654738182.4700685, 0, 
1654738182.4816322, 1, 
1654738182.4931896, 0, 
1654738182.4996552, 0, 
1654738182.5114338, 0, 
1654738182.523223, 0, 
1654738182.5350096, 0, 
1654738182.5482166, 1, 
1654738182.5608373, 0, 
1654738182.5737782, 0, 
1654738182.5860302, 0, 
1654738182.5982277, 0, 
1654738182.6116986, 1, 
1654738182.617722, 0, 
1654738182.6298285, 1, 
1654738182.641879, 2, 
1654738182.653905, 0, 
1654738182.6659143, 0, 
1654738182.6779785, 1, 
1654738182.6900482, 0, 
1654738182.7020962, 0, 
1654738182.714598, 0, 
1654738182.729269, 0, 
1654738182.7360787, 0, 
1654738182.7492592, 0, 
1654738182.7610698, 0, 
1654738182.7729406, 0, 
1654738182.7849696, 0, 
1654738182.7971065, 1, 
1654738182.8091047, 1, 
1654738182.8214366, 0, 
1654738182.833514, 0, 
1654738182.8458626, 1, 
1654738182.8546731, 0, 
1654738182.866724, 0, 
1654738182.8787487, 1, 
1654738182.890666, 0, 
1654738182.9027588, 0, 
1654738182.914739, 0, 
1654738182.9267426, 1, 
1654738182.93851, 0, 
1654738182.9503615, 0, 
1654738182.9626853, 1, 
1654738182.9706168, 0, 
1654738182.9823341, 1, 
1654738182.994054, 3, 
1654738183.0057917, 1, 
1654738183.017802, 0, 
1654738183.0295672, 1, 
1654738183.0413055, 0, 
1654738183.0531542, 0, 
1654738183.0650609, 1, 
1654738183.0769482, 1, 
1654738183.0864916, 0, 
1654738183.0982554, 0, 
1654738183.1101055, 1, 
1654738183.1218848, 0, 
1654738183.1336436, 0, 
1654738183.145398, 1, 
1654738183.1571686, 2, 
1654738183.1691337, 0, 
1654738183.1811702, 1, 
1654738183.1931705, 2, 
1654738183.2007086, 0, 
1654738183.212485, 1, 
1654738183.2242405, 0, 
1654738183.2360032, 0, 
1654738183.2477527, 1, 
1654738183.2596893, 0, 
1654738183.2715392, 0, 
1654738183.283457, 0, 
1654738183.2952042, 3, 
1654738183.3070097, 0, 
1654738183.3158462, 1, 
1654738183.3276234, 0, 
1654738183.3393695, 0, 
1654738183.3511167, 0, 
1654738183.3628528, 2, 
1654738183.374728, 0, 
1654738183.3866136, 1, 
1654738183.3984265, 0, 
1654738183.4102607, 0, 
1654738183.422113, 0, 
1654738183.42997, 1, 
1654738183.4416854, 1, 
1654738183.4534433, 1, 
1654738183.4652507, 1, 
1654738183.4770012, 1, 
1654738183.4886858, 0, 
1654738183.5008802, 0, 
1654738183.5127015, 1, 
1654738183.524554, 1, 
1654738183.536382, 0, 
1654738183.5430622, 1, 
1654738183.5548732, 0, 
1654738183.5666513, 0, 
1654738183.5784159, 2, 
1654738183.5902352, 0, 
1654738183.6020603, 0, 
1654738183.6136973, 1, 
1654738183.6253884, 1, 
1654738183.637078, 0, 
1654738183.648764, 1, 
1654738183.6548736, 1, 
1654738183.6664538, 0, 
1654738183.6780727, 1, 
1654738183.6897104, 0, 
1654738183.701209, 0, 
1654738183.7129219, 0, 
1654738183.7246034, 1, 
1654738183.7362103, 0, 
1654738183.7478747, 0, 
1654738183.7595716, 1, 
1654738183.764964, 0, 
1654738183.776558, 2, 
1654738183.7881885, 0, 
1654738183.7998035, 0, 
1654738183.811407, 0, 
1654738183.8231463, 1, 
1654738183.8349705, 0, 
1654738183.8468158, 1, 
1654738183.858657, 0, 
1654738183.870479, 0, 
1654738183.8927956, 0, 
1654738183.9044757, 0, 
1654738183.9163184, 0, 
1654738183.9280684, 1, 
1654738183.939749, 0, 
1654738183.9516222, 0, 
1654738183.963444, 2, 
1654738183.9752753, 1, 
1654738183.9870777, 0, 
1654738183.9988866, 0, 
1654738184.0068426, 0, 
1654738184.0186167, 0, 
1654738184.0303714, 0, 
1654738184.0421112, 1, 
1654738184.0539627, 0, 
1654738184.0658243, 0, 
1654738184.0776262, 1, 
1654738184.089506, 0, 
1654738184.1013336, 0, 
1654738184.1131442, 0, 
1654738184.123293, 0, 
1654738184.135016, 0, 
1654738184.1468189, 1, 
1654738184.1585867, 1, 
1654738184.1703498, 0, 
1654738184.1821241, 0, 
1654738184.19392, 1, 
1654738184.205725, 1, 
1654738184.2175763, 0, 
1654738184.2294252, 1, 
1654738184.2382798, 0, 
1654738184.2500718, 0, 
1654738184.2617939, 1, 
1654738184.2734866, 0, 
1654738184.285196, 0, 
1654738184.2974665, 0, 
1654738184.3094096, 0, 
1654738184.3217833, 0, 
1654738184.3336108, 1, 
1654738184.3454664, 0, 
1654738184.358675, 0, 
1654738184.370477, 0, 
1654738184.3829303, 1, 
1654738184.395545, 2, 
1654738184.4073277, 0, 
1654738184.4201918, 0, 
1654738184.4319642, 0, 
1654738184.443716, 0, 
1654738184.4556184, 0, 
1654738184.4679585, 0, 
1654738184.4783983, 1, 
1654738184.4906268, 0, 
1654738184.502381, 0, 
1654738184.5142837, 1, 
1654738184.5271068, 1, 
1654738184.5388896, 0, 
1654738184.5507293, 0, 
1654738184.5625439, 1, 
1654738184.5745869, 0, 
1654738184.5875378, 0, 
1654738184.596363, 1, 
1654738184.6081934, 2, 
1654738184.6201193, 0, 
1654738184.6323452, 0, 
1654738184.6442575, 0, 
1654738184.656199, 0, 
1654738184.6695023, 0, 
1654738184.6817381, 0, 
1654738184.6939592, 0, 
1654738184.7060122, 0, 
1654738184.712984, 0, 
1654738184.7257364, 0, 
1654738184.7377348, 0, 
1654738184.7498198, 0, 
1654738184.7618365, 1, 
1654738184.7744348, 1, 
1654738184.7866094, 0, 
1654738184.7989938, 2, 
1654738184.811102, 1, 
1654738184.8232405, 0, 
1654738184.8339202, 0, 
1654738184.8460398, 1, 
1654738184.8580756, 0, 
1654738184.870137, 0, 
1654738184.8839762, 1, 
1654738184.8973732, 0, 
1654738184.9096909, 0, 
1654738184.9218326, 0, 
1654738184.9349456, 0, 
1654738184.9469864, 1, 
1654738184.9540966, 0, 
1654738184.9660995, 0, 
1654738184.9784386, 1, 
1654738184.9907055, 0, 
