SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, RTC, 
1654657762.92498, 22.564453125, 27.977847883737166, 858.3379151379106, 0.37, -0.26, 10.05, 0.03, 0.01, 0.01, 859.220813132506, 3:9:19, 
1654657762.9891996, 22.564453125, 27.97760245642551, 858.3251878234352, 0.37, -0.26, 10.05, 0.02, 0.01, 0.02, 859.1187153609135, 3:9:19, 
1654657763.0529563, 22.574609375, 27.943998019743077, 858.3474016654487, 0.37, -0.26, 10.05, 0.02, 0.01, 0.00, 859.122953381621, 3:9:19, 
1654657763.1172261, 22.5951171875, 28.171671218872266, 858.3073226153834, 0.37, -0.26, 10.05, 0.02, 0.00, 0.01, 859.0655474647633, 3:9:19, 
1654657763.183439, 22.6001953125, 28.087923281836936, 858.3639163406583, 0.37, -0.26, 10.05, 0.02, 0.01, 0.00, 859.1399054644514, 3:9:19, 
1654657763.2497482, 22.6154296875, 28.110038551977212, 858.351467513889, 0.37, -0.26, 10.05, 0.02, 0.01, 0.01, 859.0781331020163, 3:9:20, 
1654657763.3164382, 22.6154296875, 27.765222012339184, 858.351467513889, 0.37, -0.26, 10.05, 0.03, 0.01, 0.00, 859.1698284591447, 3:9:20, 
1654657763.383002, 22.62578125, 27.898531014987324, 858.2967639532933, 0.37, -0.26, 10.05, 0.02, 0.01, 0.01, 859.1592976198107, 3:9:20, 
1654657763.449554, 22.62578125, 28.048638352066213, 858.358778230254, 0.37, -0.26, 10.05, 0.02, 0.01, -0.00, 859.0794173507155, 3:9:20, 
1654657763.515817, 22.6359375, 27.942761510656325, 858.3314262189479, 0.37, -0.26, 10.05, 0.02, 0.01, -0.00, 859.0216261592481, 3:9:20, 
1654657763.5921493, 22.6359375, 27.83712543933846, 858.3186948541157, 0.37, -0.26, 10.05, 0.01, 0.02, 0.01, 856.6114766253138, 3:9:20, 
1654657763.6654685, 22.620703125, 28.05419775725382, 858.3387367409373, 0.37, -0.26, 10.05, 0.02, 0.02, 0.00, 859.1463267079479, 3:9:20, 
1654657763.7327704, 22.62578125, 28.053953870186078, 858.3660889739585, 0.37, -0.26, 10.05, 0.02, 0.01, -0.00, 859.1874226663248, 3:9:20, 
1654657763.7993984, 22.630859375, 27.842560933851825, 858.3387367409373, 0.37, -0.26, 10.05, 0.01, 0.01, 0.01, 858.9944000868234, 3:9:20, 
1654657763.8682172, 22.6359375, 27.75360085015755, 858.3460472902636, 0.37, -0.26, 10.05, 0.02, 0.02, 0.01, 859.0153333406215, 3:9:20, 
1654657763.9348311, 22.6359375, 27.864924720027403, 858.3807105433775, 0.35, -0.19, 10.00, 0.02, 0.01, -0.00, 859.0792889258456, 3:9:20, 
1654657764.0014768, 22.64609375, 27.909403101794325, 858.3260052090617, 0.35, -0.19, 10.00, 0.01, 0.00, -0.00, 859.1452993089885, 3:9:20, 
1654657764.0685182, 22.6359375, 27.914839307723955, 858.3113845265045, 0.35, -0.19, 10.00, 0.02, 0.01, 0.00, 859.1049738998312, 3:9:20, 
1654657764.135457, 22.630859375, 27.89259996984463, 858.2913424365564, 0.35, -0.19, 10.00, 0.02, 0.01, 0.00, 859.0975252573753, 3:9:20, 
1654657764.2023523, 22.6359375, 27.831565556239017, 858.3186948541157, 0.35, -0.19, 10.00, 0.02, 0.01, 0.00, 859.0407614648673, 3:9:21, 
1654657764.2755713, 22.6359375, 28.04271270993487, 858.3260052090617, 0.35, -0.19, 10.00, 0.02, 0.01, 0.01, 859.0618231435354, 3:9:21, 
1654657764.3421657, 22.64609375, 28.053831911528473, 858.3260052090617, 0.35, -0.19, 10.00, 0.02, 0.01, 0.00, 859.119485910133, 3:9:21, 
1654657764.4091268, 22.6359375, 27.870484549203535, 858.3409071710963, 0.35, -0.19, 10.00, 0.02, 0.02, 0.01, 859.0854533196022, 3:9:21, 
1654657764.4758458, 22.6359375, 28.153903108134553, 858.236637657204, 0.35, -0.19, 10.00, 0.02, 0.01, 0.01, 859.0469258586238, 3:9:21, 
1654657764.5426297, 22.6359375, 28.148222787822043, 858.2712999491018, 0.35, -0.19, 10.00, 0.01, 0.02, 0.01, 859.0706844595604, 3:9:21, 
1654657764.60932, 22.641015625, 27.942391782006847, 858.3533578669252, 0.35, -0.19, 10.00, 0.02, 0.01, 0.00, 858.989648366636, 3:9:21, 
1654657764.676296, 22.64609375, 28.020229486867187, 858.3606684709199, 0.35, -0.19, 10.00, 0.02, 0.01, 0.00, 859.0831416719434, 3:9:21, 
1654657764.7432613, 22.64609375, 27.99786297982663, 858.2786098879495, 0.35, -0.19, 10.00, 0.02, 0.01, 0.00, 859.1495373296962, 3:9:21, 
1654657764.8492987, 22.651171875, 27.886916232920743, 858.3409071710963, 0.35, -0.19, 10.00, 0.01, 0.02, 0.01, 859.0387066669484, 3:9:21, 
1654657764.9157348, 22.6564453125, 27.875796364658754, 858.3482176090864, 0.41, -0.27, 10.03, 0.02, 0.01, 0.01, 859.1031759516521, 3:9:21, 
1654657764.98895, 22.64609375, 27.96463130600936, 858.3409071710963, 0.41, -0.27, 10.03, 0.03, 0.01, 0.01, 859.069657060601, 3:9:21, 
1654657765.0552566, 22.651171875, 28.031222069574284, 858.3533578669252, 0.41, -0.27, 10.03, 0.02, 0.02, 0.01, 859.1079276718395, 3:9:21, 
1654657765.1215878, 22.6564453125, 27.886916232920743, 858.3409071710963, 0.41, -0.27, 10.03, 0.02, 0.01, 0.00, 859.0867375683014, 3:9:21, 
1654657765.1880062, 22.641015625, 27.920275622003597, 858.3333155913405, 0.41, -0.27, 10.03, 0.02, 0.01, 0.00, 859.0895629154398, 3:9:21, 
1654657765.2543702, 22.6564453125, 27.83106267754237, 858.3409071710963, 0.41, -0.27, 10.03, 0.01, 0.01, 0.00, 859.1107530189779, 3:9:22, 
1654657765.3208137, 22.651171875, 28.092627311192807, 858.3260052090617, 0.41, -0.27, 10.03, 0.01, 0.02, 0.00, 859.0637495165844, 3:9:22, 
1654657765.3871422, 22.6564453125, 27.986743211339693, 858.3409071710963, 0.41, -0.27, 10.03, 0.03, 0.00, 0.01, 859.105359174441, 3:9:22, 
1654657765.4536886, 22.64609375, 27.775715932527536, 858.3135540798626, 0.41, -0.27, 10.03, 0.02, 0.00, 0.00, 859.1102393194982, 3:9:22, 
1654657765.520198, 22.64609375, 27.831316532105618, 858.2862010072184, 0.41, -0.27, 10.03, 0.02, 0.01, 0.01, 859.0470542834938, 3:9:22, 
1654657765.586503, 22.64609375, 27.903472268970816, 858.2862010072184, 0.41, -0.27, 10.03, 0.02, 0.01, 0.00, 859.0293316514437, 3:9:22, 
1654657765.6589556, 22.651171875, 27.87567234716718, 858.3533578669252, 0.41, -0.27, 10.03, 0.02, 0.02, -0.00, 859.1459414333382, 3:9:22, 
1654657765.7254093, 22.641015625, 28.070388868887488, 858.3482176090864, 0.41, -0.27, 10.03, 0.02, 0.01, 0.01, 859.1476109566471, 3:9:22, 
1654657765.7918143, 22.64609375, 28.048028240252293, 858.3260052090617, 0.41, -0.27, 10.03, 0.02, 0.02, -0.00, 859.1207701588323, 3:9:22, 
1654657765.8581257, 22.651171875, 28.075948492945262, 858.3260052090617, 0.39, -0.24, 10.04, 0.01, 0.01, 0.00, 859.0672169880723, 3:9:22, 
1654657765.924486, 22.651171875, 28.01466970922666, 858.3333155913405, 0.39, -0.24, 10.04, 0.02, 0.02, 0.01, 859.0851964698622, 3:9:22, 
1654657765.9909632, 22.64609375, 27.74791529570239, 858.3333155913405, 0.39, -0.24, 10.04, 0.02, 0.00, -0.00, 859.115890013775, 3:9:22, 
1654657766.0572867, 22.64609375, 27.881356303283564, 858.3135540798626, 0.39, -0.24, 10.04, 0.02, 0.01, 0.00, 859.0837837962931, 3:9:22, 
1654657766.1235323, 22.64609375, 28.120425161852793, 858.3260052090617, 0.39, -0.24, 10.04, 0.02, 0.01, -0.00, 859.1056160241808, 3:9:22, 
1654657766.189974, 22.64609375, 27.931143829622123, 858.2712999491018, 0.39, -0.24, 10.04, 0.02, 0.01, 0.00, 859.0925166874482, 3:9:22, 
1654657766.256112, 22.64609375, 27.853432247943235, 858.3409071710963, 0.39, -0.24, 10.04, 0.02, 0.01, 0.01, 859.1531332260541, 3:9:23, 
1654657766.3286107, 22.64609375, 27.98699342950532, 858.3260052090617, 0.39, -0.24, 10.04, 0.02, 0.01, 0.00, 859.0918745630985, 3:9:23, 
1654657766.3949137, 22.64609375, 27.792141443057144, 858.3333155913405, 0.39, -0.24, 10.04, 0.02, 0.01, 0.00, 859.1437582105493, 3:9:23, 
1654657766.504679, 22.6564453125, 27.992553188377535, 858.3409071710963, 0.39, -0.24, 10.04, 0.02, 0.02, 0.01, 859.080316324805, 3:9:23, 
