SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1658972082.649649, 23.5494140625, 35.927966182114126, 857.3186712350932, 0.42, -0.19, 10.07, 0.03, 0.01, 0.01, 858.3151609497754, 857.7452482366912, 24.61457607269287, 19:37:46,  
1658972082.7240798, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.02, 0.01, -, -, -, -, 
1658972082.7480576, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1658972082.7720728, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.03, 0.02, -, -, -, -, 
1658972082.7959795, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1658972082.8199978, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.01, 0.01, 858.3390479755819, 857.7452482366912, 24.61457607269287, -, 
1658972082.8567939, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.02, 0.01, -, -, -, -, 
1658972082.880882, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1658972082.9048965, -, -, -, 0.42, -0.19, 10.07, 0.02, 0.00, 0.01, -, -, -, -, 
1658972082.9293542, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.02, 0.01, -, -, -, -, 
1658972082.9588468, 23.5494140625, 35.655674648476584, 857.3880459183645, 0.42, -0.19, 10.07, 0.03, 0.03, 0.00, 858.1718387949361, 857.7452482366912, 24.61457607269287, 19:37:46,  
1658972083.0310752, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1658972083.0557027, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.01, 0.02, -, -, -, -, 
1658972083.0800288, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.02, 0.01, -, -, -, -, 
1658972083.1041632, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.02, 0.01, -, -, -, -, 
1658972083.1279602, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.02, 0.01, 858.2869074783913, 857.7452482366912, 24.61457607269287, -, 
1658972083.1646035, -, -, -, 0.42, -0.19, 10.07, 0.04, 0.01, 0.01, -, -, -, -, 
1658972083.1885467, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.00, 0.01, -, -, -, -, 
1658972083.2124102, -, -, -, 0.42, -0.19, 10.07, 0.03, 0.01, 0.01, -, -, -, -, 
1658972083.2359846, -, -, -, 0.42, -0.19, 10.07, 0.02, 0.01, 0.01, -, -, -, -, 
1658972083.2665944, 23.5544921875, 35.777925537253005, 857.3953429742116, 0.42, -0.19, 10.07, 0.03, 0.01, 0.01, 858.2223097688177, 857.8424198765284, 24.61457607269287, 19:37:47,  
