SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1658972376.2857788, 821, 14, 
1658972376.2890506, 758, 14, 
1658972376.2915351, 699, 14, 
1658972376.2939966, 644, 14, 
1658972376.2963357, 595, 14, 
1658972376.298802, 550, 14, 
1658972376.3011322, 508, 14, 
1658972376.303513, 469, 14, 
1658972376.3059294, 434, 14, 
1658972376.3082914, 401, 14, 
1658972376.318752, 375, 14, 
1658972376.3214335, 346, 14, 
1658972376.3239388, 320, 14, 
1658972376.3262515, 295, 14, 
1658972376.3285468, 272, 14, 
1658972376.3308403, 253, 14, 
1658972376.3331246, 234, 14, 
1658972376.3354187, 218, 14, 
1658972376.337706, 200, 14, 
1658972376.3399959, 185, 14, 
1658972376.34803, 172, 14, 
1658972376.3539717, 160, 14, 
1658972376.3574576, 148, 14, 
1658972376.3600266, 136, 14, 
1658972376.3624146, 127, 14, 
1658972376.3647645, 119, 14, 
1658972376.3670626, 109, 14, 
1658972376.3693554, 100, 14, 
1658972376.37171, 93, 14, 
1658972376.3740659, 87, 14, 
1658972376.383076, 82, 14, 
1658972376.386031, 76, 14, 
1658972376.3883553, 69, 14, 
1658972376.3906999, 66, 14, 
1658972376.3929496, 61, 14, 
1658972376.3950996, 56, 14, 
1658972376.3973002, 51, 14, 
1658972376.3995965, 48, 14, 
1658972376.4018197, 45, 14, 
1658972376.404146, 42, 14, 
1658972376.4114506, 39, 14, 
1658972376.4137635, 35, 14, 
1658972376.4158955, 34, 14, 
1658972376.4180222, 32, 14, 
1658972376.4201715, 31, 14, 
1658972376.4223883, 28, 14, 
1658972376.4246635, 25, 14, 
1658972376.4267936, 22, 14, 
1658972376.4289713, 21, 14, 
1658972376.4311275, 21, 14, 
1658972376.4365149, 20, 14, 
1658972376.4388192, 17, 14, 
1658972376.4409838, 17, 14, 
1658972376.4430988, 15, 14, 
1658972376.4452443, 15, 14, 
1658972376.4474053, 16, 14, 
1658972376.4495535, 14, 14, 
1658972376.451666, 12, 14, 
1658972376.453863, 11, 14, 
1658972376.4564514, 9, 14, 
1658972376.4648306, 11, 14, 
1658972376.4671435, 9, 14, 
1658972376.4693608, 8, 14, 
1658972376.4715192, 8, 14, 
1658972376.473732, 8, 14, 
1658972376.4758666, 8, 14, 
1658972376.477991, 7, 14, 
1658972376.480578, 6, 14, 
1658972376.4829357, 5, 14, 
1658972376.485245, 5, 14, 
1658972376.4961667, 6, 14, 
1658972376.4984064, 7, 14, 
1658972376.5005486, 6, 14, 
1658972376.5027099, 5, 14, 
1658972376.5048673, 5, 14, 
1658972376.5069857, 5, 14, 
1658972376.509147, 4, 14, 
1658972376.5112848, 4, 14, 
1658972376.513483, 4, 14, 
1658972376.515908, 3, 14, 
1658972376.5270371, 4, 14, 
1658972376.5294497, 4, 14, 
1658972376.5319192, 3, 14, 
1658972376.5342226, 3, 14, 
1658972376.536485, 3, 14, 
1658972376.5391343, 1, 13, 
1658972376.541501, 3, 14, 
1658972376.5443525, 3, 14, 
1658972376.546728, 2, 14, 
1658972376.5489774, 2, 14, 
1658972376.5597432, 3, 14, 
1658972376.5621812, 6, 14, 
1658972376.5644703, 2, 14, 
1658972376.5674038, 2, 14, 
1658972376.569853, 2, 14, 
1658972376.5721288, 3, 13, 
1658972376.574356, 2, 14, 
1658972376.576499, 1, 14, 
1658972376.578824, 2, 14, 
1658972376.5810828, 1, 14, 
1658972376.5892057, 1, 14, 
1658972376.5919192, 1, 14, 
1658972376.5942166, 1, 14, 
1658972376.5964, 2, 14, 
1658972376.598871, 2, 14, 
1658972376.6010234, 2, 14, 
1658972376.603189, 2, 14, 
1658972376.6054447, 3, 14, 
1658972376.6075828, 1, 14, 
1658972376.609913, 0, 14, 
1658972376.6170166, 2, 14, 
1658972376.6194289, 1, 14, 
1658972376.621707, 1, 14, 
1658972376.6240175, 0, 14, 
1658972376.6261785, 0, 14, 
1658972376.628323, 2, 14, 
1658972376.6308017, 2, 14, 
1658972376.6332061, 1, 14, 
1658972376.6353636, 0, 14, 
1658972376.6374972, 2, 14, 
1658972376.6443963, 1, 14, 
1658972376.6466882, 2, 14, 
1658972376.6488614, 1, 14, 
1658972376.6509826, 1, 14, 
1658972376.653097, 0, 14, 
1658972376.6555302, 0, 14, 
1658972376.6578631, 0, 14, 
1658972376.6601498, 1, 14, 
1658972376.666062, 1, 13, 
1658972376.669204, 1, 14, 
1658972376.6741862, 1, 14, 
1658972376.6763966, 0, 14, 
1658972376.678518, 0, 14, 
1658972376.680619, 0, 14, 
1658972376.6827238, 1, 14, 
1658972376.684843, 1, 14, 
1658972376.6869292, 1, 14, 
1658972376.6890345, 0, 14, 
1658972376.6911454, 1, 13, 
1658972376.6934633, 1, 14, 
1658972376.7013533, 0, 14, 
1658972376.7036035, 1, 14, 
1658972376.7057092, 0, 14, 
1658972376.707839, 0, 14, 
1658972376.7099557, 0, 14, 
1658972376.712078, 0, 14, 
1658972376.7142713, 0, 13, 
1658972376.716725, 0, 14, 
1658972376.7189758, 0, 14, 
1658972376.721096, 0, 14, 
1658972376.7297707, 1, 14, 
1658972376.7320135, 0, 14, 
1658972376.7341967, 0, 14, 
1658972376.7363386, 0, 13, 
1658972376.738584, 0, 14, 
1658972376.740922, 0, 14, 
1658972376.7431045, 0, 14, 
1658972376.745229, 0, 14, 
1658972376.747347, 0, 14, 
1658972376.7494683, 2, 14, 
1658972376.756193, 0, 14, 
1658972376.7584898, 0, 14, 
1658972376.760627, 1, 14, 
1658972376.7628264, 2, 14, 
1658972376.7652082, 1, 14, 
1658972376.7674353, 0, 14, 
1658972376.7695735, 0, 14, 
1658972376.7717135, 0, 14, 
1658972376.7738929, 0, 13, 
1658972376.7760184, 1, 14, 
1658972376.7830856, 0, 13, 
1658972376.785305, 1, 14, 
1658972376.7878058, 1, 14, 
1658972376.7901185, 0, 14, 
1658972376.7923465, 0, 13, 
1658972376.79734, 0, 14, 
1658972376.8003595, 1, 14, 
1658972376.802677, 1, 14, 
1658972376.8047974, 0, 14, 
1658972376.8069196, 0, 14, 
1658972376.8135073, 0, 14, 
1658972376.8157523, 1, 14, 
1658972376.8178823, 0, 14, 
1658972376.819996, 1, 14, 
1658972376.8220994, 1, 14, 
1658972376.8246899, 0, 13, 
1658972376.8268828, 0, 14, 
1658972376.8290062, 0, 14, 
1658972376.8311102, 0, 13, 
1658972376.8332388, 1, 14, 
1658972376.8398895, 0, 14, 
1658972376.8421276, 0, 14, 
1658972376.844301, 0, 14, 
1658972376.8464043, 0, 14, 
1658972376.8487594, 0, 14, 
1658972376.8509512, 0, 14, 
1658972376.8530948, 0, 14, 
1658972376.8552215, 0, 14, 
1658972376.8573391, 0, 13, 
1658972376.8594716, 1, 14, 
1658972376.866328, 0, 14, 
1658972376.8685699, 0, 14, 
1658972376.8706765, 0, 14, 
1658972376.8730333, 0, 13, 
1658972376.875268, 0, 13, 
1658972376.8773918, 0, 13, 
1658972376.8795142, 1, 14, 
1658972376.8816476, 0, 14, 
1658972376.883775, 0, 14, 
1658972376.8858862, 0, 14, 
1658972376.8926222, 0, 13, 
1658972376.8950832, 0, 13, 
1658972376.8981643, 0, 14, 
1658972376.9006875, 2, 13, 
1658972376.902963, 0, 13, 
1658972376.9051983, 0, 13, 
1658972376.9075103, 0, 14, 
1658972376.9097757, 0, 14, 
1658972376.9125073, 0, 13, 
1658972376.9147482, 0, 13, 
1658972376.921644, 3, 13, 
1658972376.9239955, 0, 13, 
1658972376.926105, 0, 13, 
1658972376.9282436, 0, 14, 
1658972376.9303372, 0, 13, 
1658972376.932637, 3, 14, 
1658972376.9351537, 6, 14, 
1658972376.9374816, 7, 13, 
1658972376.9395943, 1, 14, 
1658972376.9417033, 0, 13, 
1658972376.9484563, 5, 13, 
1658972376.9506829, 4, 13, 
1658972376.9528027, 0, 13, 
1658972376.9549143, 0, 13, 
1658972376.9572453, 0, 13, 
1658972376.9595075, 0, 13, 
1658972376.9617548, 5, 14, 
1658972376.9680064, 0, 13, 
1658972376.9714468, 0, 13, 
1658972376.9738991, 2, 14, 
1658972376.9813933, 0, 13, 
1658972376.9839287, 0, 13, 
1658972376.986271, 0, 14, 
1658972376.9885747, 2, 14, 
1658972376.9908743, 4, 13, 
1658972376.9931915, 3, 13, 
1658972376.9960873, 0, 13, 
1658972376.9985244, 0, 13, 
1658972377.0008156, 0, 13, 
1658972377.0031312, 3, 13, 
1658972377.0106065, 0, 13, 
1658972377.0130463, 0, 14, 
1658972377.015457, 1, 13, 
1658972377.0177782, 3, 13, 
1658972377.020527, 1, 13, 
1658972377.0228686, 1, 13, 
1658972377.0251744, 0, 13, 
1658972377.027462, 0, 13, 
1658972377.0297482, 0, 13, 
1658972377.0320942, 2, 13, 
1658972377.0390947, 0, 13, 
1658972377.041539, 0, 14, 
1658972377.044203, 0, 13, 
1658972377.0465913, 2, 13, 
1658972377.0489044, 3, 13, 
1658972377.051224, 1, 13, 
1658972377.0535789, 0, 13, 
1658972377.0559127, 0, 13, 
1658972377.0582156, 0, 13, 
1658972377.0605261, 0, 13, 
1658972377.0678437, 0, 13, 
1658972377.0702925, 1, 13, 
1658972377.0726361, 1, 13, 
1658972377.074957, 0, 13, 
1658972377.0772727, 0, 13, 
1658972377.079618, 0, 13, 
1658972377.0819476, 0, 13, 
1658972377.084333, 0, 13, 
1658972377.0866368, 0, 13, 
1658972377.0889401, 1, 13, 
1658972377.0968597, 0, 13, 
1658972377.104092, 0, 13, 
1658972377.1067088, 0, 13, 
1658972377.1090474, 0, 13, 
1658972377.1114042, 0, 13, 
1658972377.113877, 1, 13, 
1658972377.116211, 1, 13, 
1658972377.1185527, 0, 13, 
1658972377.1208823, 0, 13, 
1658972377.1232178, 0, 13, 
1658972377.1304398, 1, 13, 
1658972377.1328719, 0, 13, 
1658972377.1351933, 0, 13, 
1658972377.1375237, 0, 13, 
1658972377.1398532, 0, 13, 
1658972377.142249, 0, 13, 
1658972377.1446245, 0, 13, 
1658972377.147014, 0, 13, 
1658972377.1493442, 0, 13, 
1658972377.1517951, 0, 13, 
1658972377.1608715, 0, 13, 
1658972377.1633625, 0, 13, 
1658972377.16571, 0, 13, 
1658972377.1680906, 0, 13, 
1658972377.1704335, 1, 13, 
1658972377.1727753, 0, 13, 
1658972377.1752975, 0, 13, 
1658972377.1779234, 0, 13, 
1658972377.1803598, 0, 13, 
1658972377.182696, 0, 13, 
1658972377.1898499, 0, 13, 
1658972377.1923106, 0, 13, 
1658972377.1947792, 0, 13, 
1658972377.1971264, 0, 13, 
1658972377.1994715, 0, 13, 
1658972377.202231, 0, 13, 
1658972377.2046816, 0, 13, 
1658972377.2073224, 0, 13, 
1658972377.2098389, 0, 13, 
1658972377.212232, 0, 13, 
1658972377.2194803, 0, 13, 
1658972377.2219265, 0, 13, 
1658972377.2243862, 0, 13, 
1658972377.22682, 0, 13, 
1658972377.229375, 0, 13, 
1658972377.2318137, 0, 13, 
1658972377.2343333, 1, 13, 
1658972377.2367604, 0, 13, 
1658972377.2391725, 0, 13, 
1658972377.2417645, 0, 13, 
1658972377.249279, 0, 13, 
1658972377.2517347, 1, 13, 
1658972377.2541804, 0, 13, 
1658972377.25657, 0, 13, 
1658972377.258913, 0, 13, 
1658972377.2612555, 0, 13, 
1658972377.2637014, 0, 13, 
1658972377.2662938, 0, 13, 
1658972377.2687602, 0, 14, 
1658972377.2746103, 0, 13, 
1658972377.2835038, 0, 13, 
1658972377.2859664, 0, 13, 
1658972377.288441, 0, 13, 
1658972377.2916944, 0, 13, 
1658972377.2941434, 0, 13, 
1658972377.2965367, 0, 13, 
1658972377.298867, 0, 13, 
1658972377.3011973, 0, 13, 
1658972377.3041847, 0, 13, 
1658972377.3066146, 0, 13, 
1658972377.3136492, 0, 13, 
1658972377.3161423, 0, 13, 
1658972377.318493, 2, 13, 
1658972377.3208492, 0, 13, 
1658972377.3231735, 0, 13, 
1658972377.3255277, 0, 13, 
1658972377.3282194, 0, 13, 
1658972377.3305976, 0, 13, 
1658972377.332954, 0, 13, 
1658972377.3353639, 0, 13, 
1658972377.3425968, 0, 13, 
1658972377.3451421, 0, 13, 
1658972377.3474908, 0, 13, 
1658972377.3498456, 0, 13, 
1658972377.352833, 0, 13, 
1658972377.3552244, 0, 13, 
1658972377.3575568, 0, 13, 
1658972377.3599675, 0, 13, 
1658972377.3623023, 0, 13, 
1658972377.3646882, 0, 13, 
1658972377.371869, 0, 13, 
1658972377.374387, 0, 13, 
1658972377.3773334, 0, 13, 
1658972377.3797047, 0, 13, 
1658972377.3820617, 0, 13, 
1658972377.3844671, 1, 13, 
1658972377.3868299, 0, 13, 
1658972377.389195, 0, 13, 
1658972377.391719, 0, 13, 
1658972377.3941226, 0, 13, 
1658972377.409604, 0, 13, 
1658972377.4138484, 0, 13, 
1658972377.4163218, 0, 13, 
1658972377.418672, 0, 13, 
1658972377.421028, 0, 13, 
1658972377.42333, 0, 13, 
1658972377.4256704, 0, 13, 
1658972377.4280112, 0, 13, 
1658972377.430356, 0, 13, 
1658972377.432682, 0, 13, 
1658972377.4399326, 0, 13, 
1658972377.4423969, 0, 13, 
1658972377.4448125, 0, 13, 
1658972377.4471555, 0, 13, 
1658972377.4495003, 0, 13, 
1658972377.451825, 0, 13, 
1658972377.4542232, 0, 13, 
1658972377.4565644, 0, 13, 
1658972377.4589074, 0, 13, 
1658972377.4614594, 0, 13, 
1658972377.4687912, 0, 13, 
1658972377.4712539, 0, 13, 
1658972377.4736953, 0, 13, 
1658972377.4760478, 0, 13, 
1658972377.4783943, 1, 13, 
1658972377.4807243, 2, 13, 
1658972377.483055, 0, 13, 
1658972377.4856231, 0, 13, 
1658972377.4880435, 0, 13, 
1658972377.4903965, 0, 13, 
1658972377.4977307, 0, 13, 
1658972377.5002024, 0, 13, 
1658972377.5026128, 0, 13, 
1658972377.507431, 2, 13, 
1658972377.510252, 0, 13, 
1658972377.5126214, 0, 13, 
1658972377.5152578, 0, 13, 
1658972377.5179362, 0, 13, 
1658972377.520394, 2, 13, 
1658972377.5227106, 4, 13, 
1658972377.5281148, 0, 13, 
1658972377.5305245, 0, 13, 
1658972377.5329034, 0, 13, 
1658972377.5353172, 0, 13, 
1658972377.5379307, 0, 13, 
1658972377.5405946, 1, 13, 
1658972377.5429718, 1, 13, 
1658972377.5453253, 3, 13, 
1658972377.5476866, 1, 13, 
1658972377.5502977, 0, 13, 
1658972377.5577831, 0, 13, 
1658972377.56022, 0, 13, 
1658972377.5625508, 1, 13, 
1658972377.564888, 2, 13, 
1658972377.56723, 2, 13, 
1658972377.5695684, 0, 13, 
1658972377.5719092, 0, 13, 
1658972377.5747213, 0, 13, 
1658972377.5774195, 0, 13, 
1658972377.5799332, 0, 13, 
1658972377.5927262, 0, 13, 
1658972377.5951498, 0, 13, 
1658972377.5975304, 0, 13, 
1658972377.599833, 0, 13, 
1658972377.6021352, 0, 13, 
1658972377.6045074, 0, 13, 
1658972377.6068487, 0, 13, 
1658972377.6099164, 1, 13, 
1658972377.6123643, 0, 13, 
1658972377.616795, 0, 13, 
1658972377.6238995, 0, 13, 
1658972377.626386, 0, 13, 
1658972377.6287255, 1, 13, 
1658972377.6310692, 1, 13, 
1658972377.633681, 0, 13, 
1658972377.6360288, 0, 13, 
1658972377.6389887, 0, 13, 
1658972377.6413653, 0, 13, 
1658972377.6437447, 0, 13, 
1658972377.6460931, 0, 13, 
1658972377.6533473, 1, 13, 
1658972377.6558063, 0, 13, 
1658972377.6581802, 0, 13, 
1658972377.6605978, 0, 13, 
1658972377.663221, 0, 13, 
1658972377.6661084, 1, 13, 
1658972377.6684847, 3, 13, 
1658972377.670818, 1, 13, 
1658972377.6731465, 0, 13, 
1658972377.6755984, 0, 13, 
1658972377.682609, 0, 13, 
1658972377.6852646, 0, 13, 
1658972377.6883922, 0, 13, 
1658972377.690957, 3, 13, 
1658972377.693481, 4, 13, 
1658972377.6960132, 0, 13, 
1658972377.6985395, 0, 13, 
1658972377.701063, 0, 13, 
1658972377.703621, 0, 13, 
1658972377.7061522, 0, 13, 
1658972377.7134817, 0, 13, 
1658972377.7220232, 0, 13, 
1658972377.7282417, 0, 13, 
1658972377.7305915, 2, 13, 
1658972377.7329257, 1, 13, 
1658972377.7352374, 0, 13, 
1658972377.7375755, 0, 13, 
1658972377.7398837, 0, 13, 
1658972377.7422159, 0, 13, 
1658972377.7445598, 0, 13, 
1658972377.752136, 0, 13, 
1658972377.754584, 0, 13, 
