SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1658975152.0199661, 24.3201171875, 32.39662766353976, 857.6109550436242, 0.88, -1.23, 10.05, 0.01, 0.08, -0.01, 858.7033893315671, 858.0050790730468, 25.52029140472412, 20:29:34,  
1658975152.0938616, -, -, -, 0.88, -1.23, 10.05, 0.02, -0.00, -0.02, -, -, -, -, 
1658975152.117708, -, -, -, 0.88, -1.23, 10.05, 0.03, -0.04, -0.02, -, -, -, -, 
1658975152.1415963, -, -, -, 0.88, -1.23, 10.05, 0.04, -0.08, -0.00, -, -, -, -, 
1658975152.1654148, -, -, -, 0.88, -1.23, 10.05, 0.04, -0.13, 0.01, -, -, -, -, 
1658975152.1893692, -, -, -, 0.88, -1.23, 10.05, 0.04, -0.13, 0.02, 858.7700418390596, 858.0050790730468, 25.52029140472412, -, 
1658975152.227668, -, -, -, 0.88, -1.23, 10.05, 0.06, -0.17, 0.02, -, -, -, -, 
1658975152.2517734, -, -, -, 0.88, -1.23, 10.05, 0.05, -0.15, 0.01, -, -, -, -, 
1658975152.2757587, -, -, -, 0.88, -1.23, 10.05, 0.05, -0.13, 0.01, -, -, -, -, 
1658975152.2997637, -, -, -, 0.88, -1.23, 10.05, 0.05, -0.08, 0.01, -, -, -, -, 
1658975152.329576, 24.3201171875, 32.55253443758237, 857.6255430737677, 0.88, -1.23, 10.05, -0.07, 0.03, -0.00, 858.8411892169995, 858.1024292097218, 25.52029140472412, 20:29:34,  
1658975152.4032342, -, -, -, 0.88, -1.23, 10.05, -0.04, -0.00, 0.04, -, -, -, -, 
1658975152.4271975, -, -, -, 0.88, -1.23, 10.05, 0.03, -0.02, 0.07, -, -, -, -, 
1658975152.4511712, -, -, -, 0.88, -1.23, 10.05, 0.09, -0.07, 0.12, -, -, -, -, 
1658975152.4752936, -, -, -, 0.88, -1.23, 10.05, 0.13, -0.11, 0.15, -, -, -, -, 
1658975152.4992478, -, -, -, 0.88, -1.23, 10.05, 0.17, -0.09, 0.18, 858.7334407511302, 858.1024292097218, 25.52029140472412, -, 
1658975152.5356078, -, -, -, 0.88, -1.23, 10.05, 0.18, -0.07, 0.20, -, -, -, -, 
1658975152.5594847, -, -, -, 0.88, -1.23, 10.05, 0.18, -0.03, 0.21, -, -, -, -, 
1658975152.583278, -, -, -, 0.88, -1.23, 10.05, 0.20, -0.00, 0.23, -, -, -, -, 
1658975152.6070833, -, -, -, 0.88, -1.23, 10.05, 0.21, 0.03, 0.25, -, -, -, -, 
1658975152.6374688, 24.3251953125, 32.5190202757575, 857.6255430737677, 0.88, -1.23, 10.05, 0.18, 0.05, 0.15, 858.6479097877583, 858.0050790730468, 25.52029140472412, 20:29:34,  
1658975152.7086947, -, -, -, 0.88, -1.23, 10.05, 0.11, 0.03, 0.05, -, -, -, -, 
1658975152.732864, -, -, -, 0.88, -1.23, 10.05, 0.09, 0.04, -0.01, -, -, -, -, 
1658975152.756825, -, -, -, 0.88, -1.23, 10.05, 0.07, 0.04, -0.03, -, -, -, -, 
1658975152.780848, -, -, -, 0.88, -1.23, 10.05, 0.05, 0.04, -0.04, -, -, -, -, 
1658975152.8048596, -, -, -, 0.88, -1.23, 10.05, 0.01, 0.04, -0.09, 858.5974388138766, 858.0050790730468, 25.52029140472412, -, 
1658975152.8415735, -, -, -, 0.88, -1.23, 10.05, -0.05, 0.01, -0.07, -, -, -, -, 
1658975152.8656673, -, -, -, 0.88, -1.23, 10.05, -0.01, -0.04, -0.05, -, -, -, -, 
1658975152.8897886, -, -, -, 0.88, -1.23, 10.05, 0.06, -0.07, -0.03, -, -, -, -, 
1658975152.9137046, -, -, -, 0.88, -1.23, 10.05, 0.13, -0.05, -0.01, -, -, -, -, 
1658975152.942554, 24.3302734375, 32.36311098375265, 857.6529671579477, 0.88, -1.23, 10.05, 0.06, 0.01, -0.05, 858.7632353209534, 858.0750048056594, 25.502873802185057, 20:29:34,  
1658975153.0154898, -, -, -, 0.82, -0.94, 9.84, -0.04, 0.05, -0.09, -, -, -, -, 
1658975153.0395608, -, -, -, 0.82, -0.94, 9.84, -0.06, 0.02, -0.11, -, -, -, -, 
1658975153.0636299, -, -, -, 0.82, -0.94, 9.84, 0.05, 0.00, -0.11, -, -, -, -, 
1658975153.08756, -, -, -, 0.82, -0.94, 9.84, 0.18, 0.04, -0.08, -, -, -, -, 
1658975153.1117148, -, -, -, 0.82, -0.94, 9.84, 0.15, 0.11, -0.01, 858.6956838393714, 857.9776581016159, 25.502873802185057, -, 
1658975153.1487215, -, -, -, 0.82, -0.94, 9.84, 0.03, 0.10, -0.00, -, -, -, -, 
