SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1658975151.9125428, 617, 352, 
1658975151.9156733, 574, 353, 
1658975151.9183054, 527, 354, 
1658975151.9209769, 483, 352, 
1658975151.9235737, 447, 352, 
1658975151.9263065, 417, 353, 
1658975151.9285207, 387, 354, 
1658975151.930652, 358, 354, 
1658975151.932955, 327, 354, 
1658975151.9351723, 300, 352, 
1658975151.945848, 284, 353, 
1658975151.9483104, 261, 353, 
1658975151.9508321, 241, 354, 
1658975151.95411, 225, 354, 
1658975151.95629, 208, 353, 
1658975151.9584007, 192, 353, 
1658975151.9605043, 177, 353, 
1658975151.9626055, 164, 353, 
1658975151.96475, 153, 353, 
1658975151.9668632, 145, 354, 
1658975151.9743881, 125, 354, 
1658975151.9766498, 117, 354, 
1658975151.9787571, 114, 353, 
1658975151.9808822, 109, 354, 
1658975151.983048, 100, 353, 
1658975151.9854796, 89, 353, 
1658975151.9876938, 80, 353, 
1658975151.989975, 75, 352, 
1658975151.9947705, 76, 353, 
1658975151.998156, 67, 354, 
1658975152.008781, 63, 353, 
1658975152.011063, 57, 352, 
1658975152.0131953, 53, 354, 
1658975152.0153234, 48, 354, 
1658975152.0175254, 46, 353, 
1658975152.0196903, 45, 353, 
1658975152.0218143, 43, 353, 
1658975152.0242772, 39, 354, 
1658975152.0265534, 34, 354, 
1658975152.0287287, 28, 353, 
1658975152.0356371, 33, 353, 
1658975152.0379348, 28, 355, 
1658975152.0400722, 22, 355, 
1658975152.0422897, 19, 355, 
1658975152.0444138, 21, 355, 
1658975152.0467062, 26, 355, 
1658975152.0492053, 26, 355, 
1658975152.0513241, 20, 355, 
1658975152.053489, 12, 355, 
1658975152.0556405, 9, 355, 
1658975152.0631154, 22, 355, 
1658975152.0653026, 15, 355, 
1658975152.0674076, 8, 355, 
1658975152.0695076, 6, 356, 
1658975152.0718763, 9, 355, 
1658975152.0740871, 14, 355, 
1658975152.0762262, 15, 355, 
1658975152.0783622, 13, 355, 
1658975152.0804756, 8, 355, 
1658975152.0826004, 5, 356, 
1658975152.0899427, 9, 355, 
1658975152.0921552, 10, 355, 
1658975152.0944471, 9, 355, 
1658975152.0969162, 6, 355, 
1658975152.099052, 4, 355, 
1658975152.101192, 1, 355, 
1658975152.1033463, 2, 355, 
1658975152.1054845, 5, 355, 
1658975152.107649, 7, 355, 
1658975152.1097846, 8, 355, 
1658975152.116384, 2, 354, 
1658975152.1189063, 2, 355, 
1658975152.1213338, 5, 355, 
1658975152.1235936, 5, 354, 
1658975152.1282425, 3, 355, 
1658975152.1312616, 0, 355, 
1658975152.1336045, 0, 355, 
1658975152.1357396, 0, 355, 
1658975152.1378796, 2, 356, 
1658975152.1399972, 4, 355, 
1658975152.1466713, 2, 355, 
1658975152.1488879, 0, 355, 
1658975152.151013, 0, 355, 
1658975152.153242, 3, 355, 
1658975152.1556413, 5, 355, 
1658975152.1578414, 5, 355, 
1658975152.1599808, 2, 355, 
1658975152.1621187, 0, 356, 
1658975152.1642845, 0, 355, 
1658975152.1664238, 0, 353, 
1658975152.1752915, 4, 355, 
1658975152.1775048, 0, 355, 
1658975152.1798587, 0, 355, 
1658975152.1820447, 1, 354, 
1658975152.1842258, 4, 355, 
1658975152.1863742, 7, 355, 
1658975152.188512, 5, 355, 
1658975152.1906517, 1, 355, 
1658975152.1927674, 0, 355, 
1658975152.1949043, 0, 354, 
1658975152.201473, 4, 355, 
1658975152.2041767, 3, 356, 
1658975152.2063162, 1, 355, 
1658975152.2084572, 0, 355, 
1658975152.2105849, 0, 355, 
1658975152.2127116, 0, 355, 
1658975152.214853, 1, 356, 
1658975152.2169776, 3, 355, 
1658975152.2191148, 4, 356, 
1658975152.2212303, 2, 355, 
1658975152.2279577, 0, 355, 
1658975152.2301924, 0, 355, 
1658975152.2323549, 3, 356, 
1658975152.23482, 3, 355, 
1658975152.2369351, 0, 355, 
1658975152.2390516, 0, 356, 
1658975152.241243, 0, 356, 
1658975152.243598, 0, 355, 
1658975152.2458742, 2, 356, 
1658975152.248024, 1, 355, 
1658975152.2549622, 0, 355, 
1658975152.2572114, 0, 355, 
1658975152.2594082, 1, 355, 
1658975152.2615206, 1, 355, 
1658975152.263666, 1, 354, 
1658975152.266199, 3, 355, 
1658975152.268415, 2, 355, 
1658975152.2705276, 0, 355, 
1658975152.2726326, 0, 355, 
1658975152.2747467, 0, 355, 
1658975152.2835844, 1, 356, 
1658975152.285805, 0, 355, 
1658975152.287944, 0, 355, 
1658975152.2904904, 0, 354, 
1658975152.2928593, 1, 355, 
1658975152.295237, 3, 356, 
1658975152.3021183, 0, 356, 
1658975152.304457, 0, 356, 
1658975152.3066487, 0, 355, 
1658975152.308789, 0, 355, 
1658975152.322348, 0, 356, 
1658975152.3245957, 1, 355, 
1658975152.3271115, 3, 356, 
1658975152.3293738, 2, 355, 
1658975152.3314965, 0, 355, 
1658975152.33367, 0, 355, 
1658975152.3358057, 0, 355, 
1658975152.337941, 1, 355, 
1658975152.3400967, 1, 356, 
1658975152.3422415, 1, 355, 
1658975152.3491318, 0, 355, 
1658975152.3515964, 0, 356, 
1658975152.353825, 0, 355, 
1658975152.3559666, 0, 355, 
1658975152.3581007, 0, 356, 
1658975152.3602176, 0, 355, 
1658975152.3623526, 0, 355, 
1658975152.3644905, 1, 355, 
1658975152.3666277, 0, 355, 
1658975152.3687449, 0, 355, 
1658975152.375477, 0, 355, 
1658975152.3778124, 0, 355, 
1658975152.3799553, 0, 356, 
1658975152.3820884, 0, 355, 
1658975152.3842578, 0, 355, 
1658975152.386395, 0, 356, 
1658975152.3885198, 0, 355, 
1658975152.3906553, 0, 355, 
1658975152.392814, 0, 355, 
1658975152.3949525, 0, 356, 
1658975152.4015875, 0, 355, 
1658975152.4038444, 0, 355, 
1658975152.4059854, 0, 355, 
1658975152.4080913, 0, 355, 
1658975152.4101975, 0, 355, 
1658975152.412304, 0, 355, 
1658975152.414443, 0, 355, 
1658975152.4165726, 0, 355, 
1658975152.4187088, 0, 355, 
1658975152.4208455, 0, 356, 
1658975152.431681, 0, 356, 
1658975152.4347403, 0, 356, 
1658975152.437071, 0, 356, 
1658975152.4391935, 0, 356, 
1658975152.4413, 0, 356, 
1658975152.443458, 0, 356, 
1658975152.4455752, 0, 356, 
1658975152.4476762, 0, 356, 
1658975152.4497643, 0, 356, 
1658975152.451876, 0, 356, 
1658975152.4588332, 0, 355, 
1658975152.4612343, 0, 356, 
1658975152.4633656, 0, 356, 
1658975152.4654956, 0, 356, 
1658975152.4676082, 0, 356, 
1658975152.469718, 0, 356, 
1658975152.4718254, 0, 356, 
1658975152.4739497, 0, 355, 
1658975152.4760654, 0, 356, 
1658975152.478178, 0, 356, 
1658975152.484815, 0, 356, 
1658975152.4869928, 0, 355, 
1658975152.4890926, 0, 355, 
1658975152.4911878, 0, 355, 
1658975152.4933197, 0, 356, 
1658975152.495438, 0, 355, 
1658975152.4975657, 0, 355, 
1658975152.4997575, 0, 356, 
1658975152.5022576, 0, 356, 
1658975152.5050523, 0, 356, 
1658975152.5128336, 0, 356, 
1658975152.5154092, 0, 356, 
1658975152.5179102, 3, 356, 
1658975152.5204477, 4, 356, 
1658975152.522925, 1, 355, 
1658975152.525409, 0, 356, 
1658975152.5278828, 0, 356, 
1658975152.530802, 0, 355, 
1658975152.5333772, 0, 356, 
1658975152.5361345, 1, 355, 
1658975152.542297, 0, 356, 
1658975152.54504, 0, 355, 
1658975152.5475824, 1, 356, 
1658975152.550501, 3, 356, 
1658975152.553072, 1, 356, 
1658975152.5555634, 0, 356, 
1658975152.5581248, 0, 355, 
1658975152.5607038, 0, 356, 
1658975152.5633936, 1, 356, 
1658975152.5660222, 2, 356, 
1658975152.5768714, 1, 356, 
1658975152.579431, 2, 356, 
1658975152.5819457, 0, 356, 
1658975152.584469, 0, 356, 
1658975152.5869443, 0, 356, 
1658975152.5894186, 0, 356, 
1658975152.591893, 0, 356, 
1658975152.594357, 0, 356, 
1658975152.597542, 0, 355, 
1658975152.6002743, 0, 355, 
1658975152.6080432, 1, 356, 
1658975152.6114175, 0, 356, 
1658975152.613865, 0, 356, 
1658975152.616179, 0, 356, 
1658975152.6185012, 0, 356, 
1658975152.6208272, 0, 356, 
1658975152.6231472, 0, 356, 
1658975152.625477, 0, 356, 
1658975152.627816, 0, 356, 
1658975152.6301386, 0, 356, 
1658975152.6372645, 0, 356, 
1658975152.6397066, 0, 356, 
1658975152.6420362, 0, 355, 
1658975152.644408, 0, 356, 
1658975152.6467342, 0, 356, 
1658975152.649061, 0, 356, 
1658975152.6513898, 0, 356, 
1658975152.6537447, 0, 356, 
1658975152.6560683, 0, 356, 
1658975152.6587875, 0, 356, 
1658975152.6662743, 0, 356, 
1658975152.6687186, 0, 356, 
1658975152.671037, 0, 356, 
1658975152.6734052, 0, 356, 
1658975152.6757336, 0, 356, 
1658975152.6780605, 0, 356, 
1658975152.6803744, 0, 356, 
1658975152.6831641, 0, 356, 
1658975152.6855962, 0, 356, 
1658975152.6879365, 0, 356, 
1658975152.6948667, 0, 356, 
1658975152.6972935, 0, 356, 
1658975152.699664, 0, 356, 
1658975152.701993, 0, 357, 
1658975152.7045336, 0, 356, 
1658975152.707122, 0, 356, 
1658975152.7095053, 0, 356, 
1658975152.7118351, 0, 356, 
1658975152.7141933, 0, 356, 
1658975152.716504, 0, 356, 
1658975152.7234313, 0, 356, 
1658975152.7258694, 0, 356, 
1658975152.7281933, 0, 356, 
1658975152.7309303, 0, 356, 
1658975152.7335527, 0, 355, 
1658975152.735938, 0, 356, 
1658975152.7417715, 0, 356, 
1658975152.7452126, 0, 356, 
1658975152.7475505, 0, 356, 
1658975152.7498746, 0, 356, 
1658975152.759235, 0, 356, 
1658975152.7616863, 0, 356, 
1658975152.764033, 0, 356, 
1658975152.7663765, 0, 356, 
1658975152.7691052, 0, 356, 
1658975152.771446, 0, 356, 
1658975152.7738068, 0, 355, 
1658975152.7761395, 0, 356, 
1658975152.7784755, 0, 356, 
1658975152.7808075, 0, 356, 
1658975152.7877805, 0, 356, 
1658975152.7902348, 0, 356, 
1658975152.7930357, 0, 356, 
1658975152.7953947, 0, 356, 
1658975152.7977364, 0, 355, 
1658975152.8000596, 0, 356, 
1658975152.8023865, 0, 356, 
1658975152.8047132, 0, 356, 
1658975152.8070347, 0, 356, 
1658975152.8093643, 0, 356, 
1658975152.8166046, 0, 356, 
1658975152.8190536, 0, 356, 
1658975152.821398, 0, 356, 
1658975152.8238015, 0, 356, 
1658975152.8261294, 0, 356, 
1658975152.828472, 0, 356, 
1658975152.830797, 0, 356, 
1658975152.8331037, 0, 356, 
1658975152.8354166, 0, 356, 
1658975152.8379233, 0, 356, 
1658975152.8461387, 0, 356, 
1658975152.8487794, 0, 356, 
1658975152.8512433, 0, 356, 
1658975152.8535912, 0, 356, 
1658975152.8559055, 0, 356, 
1658975152.858478, 0, 356, 
1658975152.8608131, 0, 356, 
1658975152.8631794, 0, 356, 
1658975152.8655932, 0, 356, 
1658975152.8680825, 0, 355, 
1658975152.8753943, 0, 356, 
1658975152.8778634, 0, 356, 
1658975152.8804984, 0, 355, 
1658975152.8831072, 0, 356, 
1658975152.8854551, 0, 356, 
1658975152.8877773, 0, 356, 
1658975152.8901005, 0, 356, 
1658975152.8924198, 0, 356, 
1658975152.8947475, 0, 356, 
1658975152.8970711, 0, 356, 
1658975152.9064054, 0, 356, 
1658975152.9089673, 0, 356, 
1658975152.914541, 0, 356, 
1658975152.9187052, 0, 356, 
1658975152.922164, 0, 356, 
1658975152.9245741, 0, 356, 
1658975152.926903, 0, 356, 
1658975152.9292421, 0, 356, 
1658975152.9315696, 0, 356, 
