SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1658027919.9155064, 23.7943359375, 40.022575934889254, 859.6182715141605, 0.38, -0.17, 10.03, 0.03, 0.00, 0.01, 859.9771071915105, 859.8906641462795, 25.050016136169432, 21:18:38,  
1658027919.9927452, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.0168526, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.02, -, -, -, -, 
1658027920.0408628, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.0651224, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.0891054, -, -, -, 0.38, -0.17, 10.03, 0.02, 0.01, 0.01, 859.9369102072231, 859.9879216019041, 25.050016136169432, -, 
1658027920.1260533, -, -, -, 0.38, -0.17, 10.03, 0.04, 0.01, 0.01, -, -, -, -, 
1658027920.1500528, -, -, -, 0.38, -0.17, 10.03, 0.04, 0.01, 0.01, -, -, -, -, 
1658027920.1739073, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.1978838, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.2316985, 23.809765625, 40.067000226073645, 859.6182715141605, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, 859.9930318753816, 859.7934066906548, 25.050016136169432, 21:18:39,  
1658027920.3037214, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.3279283, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.00, 0.01, -, -, -, -, 
1658027920.3520734, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.3760223, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.02, 0.01, -, -, -, -, 
1658027920.4001296, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, 859.9882801551943, 859.8906641462795, 25.050016136169432, -, 
1658027920.4369187, -, -, -, 0.38, -0.17, 10.03, 0.04, 0.01, 0.01, -, -, -, -, 
1658027920.4609032, -, -, -, 0.38, -0.17, 10.03, 0.02, 0.02, 0.01, -, -, -, -, 
1658027920.484764, -, -, -, 0.38, -0.17, 10.03, 0.04, 0.02, 0.01, -, -, -, -, 
1658027920.508596, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.5367606, 23.809765625, 39.90595877386338, 859.6529884424983, 0.38, -0.17, 10.03, 0.03, 0.02, 0.01, 860.0198726731965, 859.7934066906548, 25.050016136169432, 21:18:39,  
1658027920.6091607, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.6331546, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.02, 0.01, -, -, -, -, 
1658027920.6569107, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.02, -, -, -, -, 
1658027920.6808953, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.7047236, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, 859.9670900516562, 859.8906641462795, 25.050016136169432, -, 
1658027920.741654, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.02, 0.05, -, -, -, -, 
1658027920.76558, -, -, -, 0.38, -0.17, 10.03, 0.04, 0.02, 0.01, -, -, -, -, 
1658027920.7894816, -, -, -, 0.38, -0.17, 10.03, 0.03, 0.01, 0.01, -, -, -, -, 
1658027920.813367, -, -, -, 0.38, -0.17, 10.03, 0.04, 0.00, 0.01, -, -, -, -, 
1658027920.8434331, 23.809765625, 39.92258965242288, 859.6328985239629, 0.37, -0.12, 10.04, 0.03, 0.02, 0.01, 859.9589992848507, 859.7934066906548, 25.050016136169432, 21:18:39,  
