SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MSPressure, MSTemp, RTC, 
1658019077.451913, 25.2591796875, 36.81986525077245, 859.3576035018989, 0.17, 0.14, 10.00, 0.04, 0.01, 0.01, 860.3594280292855, 859.7478934534615, 26.56534755706787, 20:55:33,  
1658019077.5297434, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.01, -, -, -, -, 
1658019077.5537293, -, -, -, 0.17, 0.14, 10.00, 0.02, 0.01, 0.01, -, -, -, -, 
1658019077.5778036, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.01, 0.01, -, -, -, -, 
1658019077.6018379, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.01, -, -, -, -, 
1658019077.62574, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.02, 0.01, 860.1498386415633, 859.7478934534615, 26.56534755706787, -, 
1658019077.66251, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.02, 0.01, -, -, -, -, 
1658019077.6864414, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.01, -, -, -, -, 
1658019077.7104034, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.01, -, -, -, -, 
1658019077.7342525, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.02, 0.01, -, -, -, -, 
1658019077.766276, 25.2591796875, 36.9481344978382, 859.4142777635358, 0.17, 0.14, 10.00, 0.03, 0.01, 0.01, 860.9548057262705, 859.7478934534615, 26.56534755706787, 20:55:33,  
1658019077.838881, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.00, -, -, -, -, 
1658019077.8627584, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.01, 0.01, -, -, -, -, 
1658019077.8867257, -, -, -, 0.17, 0.14, 10.00, 0.02, 0.01, 0.01, -, -, -, -, 
1658019077.91066, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.02, 0.01, -, -, -, -, 
1658019077.9347029, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.01, 860.1173471494717, 859.6503373588971, 26.56534755706787, -, 
1658019077.9718208, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.02, 0.01, -, -, -, -, 
1658019077.9956706, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.02, 0.01, -, -, -, -, 
1658019078.0194836, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.01, 0.01, -, -, -, -, 
1658019078.0435708, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.02, 0.01, -, -, -, -, 
1658019078.0717008, 25.2794921875, 37.070800132627916, 859.4288827997764, 0.17, 0.14, 10.00, 0.03, 0.02, 0.02, 860.2027496879736, 859.7478934534615, 26.56534755706787, 20:55:33,  
1658019078.1441023, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.01, -, -, -, -, 
1658019078.1680455, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.01, 0.01, -, -, -, -, 
1658019078.1919813, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.01, 0.01, -, -, -, -, 
1658019078.2158523, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.00, 0.01, -, -, -, -, 
1658019078.2398322, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.01, 0.01, 860.292775521793, 859.6503373588971, 26.56534755706787, -, 
1658019078.2765596, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.01, -, -, -, -, 
1658019078.3006034, -, -, -, 0.17, 0.14, 10.00, 0.03, 0.01, 0.02, -, -, -, -, 
1658019078.3248632, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.02, 0.01, -, -, -, -, 
1658019078.348986, -, -, -, 0.17, 0.14, 10.00, 0.04, 0.01, 0.01, -, -, -, -, 
1658019078.379437, 25.2693359375, 37.037381015356985, 859.3666490579718, 0.22, 0.20, 9.97, 0.03, 0.00, 0.01, 860.3925616457268, 859.6503373588971, 26.56534755706787, 20:55:34,  
1658019078.4524088, -, -, -, 0.22, 0.20, 9.97, 0.04, 0.01, 0.01, -, -, -, -, 
1658019078.476287, -, -, -, 0.22, 0.20, 9.97, 0.02, 0.01, 0.01, -, -, -, -, 
1658019078.5000603, -, -, -, 0.22, 0.20, 9.97, 0.04, 0.01, 0.01, -, -, -, -, 
1658019078.524006, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.02, 0.02, -, -, -, -, 
1658019078.5478308, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.01, 0.01, 860.2484689416679, 859.677758330328, 26.582765159606932, -, 
1658019078.5847728, -, -, -, 0.22, 0.20, 9.97, 0.04, 0.02, 0.02, -, -, -, -, 
1658019078.6086814, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658019078.632629, -, -, -, 0.22, 0.20, 9.97, 0.04, 0.01, 0.01, -, -, -, -, 
1658019078.6563911, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658019078.6870232, 25.2693359375, 37.10991550118335, 859.4215802684927, 0.22, 0.20, 9.97, 0.04, 0.01, 0.02, 860.3170478222092, 859.7204690493993, 26.547929954528808, 20:55:34,  
1658019078.7592115, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.01, 0.02, -, -, -, -, 
1658019078.7833054, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.02, 0.01, -, -, -, -, 
1658019078.807307, -, -, -, 0.22, 0.20, 9.97, 0.04, 0.01, 0.01, -, -, -, -, 
1658019078.8312142, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.02, 0.02, -, -, -, -, 
1658019078.8551257, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.01, 0.00, 860.3081865061844, 859.6503373588971, 26.56534755706787, -, 
1658019078.8951232, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.02, 0.01, -, -, -, -, 
1658019078.919044, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.01, 0.01, -, -, -, -, 
1658019078.942851, -, -, -, 0.22, 0.20, 9.97, 0.04, 0.01, 0.02, -, -, -, -, 
1658019078.9667532, -, -, -, 0.22, 0.20, 9.97, 0.04, 0.01, 0.02, -, -, -, -, 
1658019079.002499, 25.2541015625, 36.89238011865485, 859.3795101140844, 0.22, 0.20, 9.97, 0.04, 0.02, 0.02, 860.2674758224172, 859.7478934534615, 26.56534755706787, 20:55:34,  
1658019079.0753024, -, -, -, 0.22, 0.20, 9.97, 0.03, 0.02, 0.02, -, -, -, -, 
